stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2129706,0,191105.155156776,0,0,0,0,0,0,0,0
1,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,51,2078941,50765,186542.637793616,4562.51736316049,50765,4562.5173631605,51,0.0238366234588248,0.0238743814075426,2.38366234588248,2.38743814075426
2,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,102,2028896,100810,182033.560783946,9071.59437283005,50045,4509.07700966956,51,0.0473351720847854,0.047469124343548,4.73351720847854,4.7469124343548
3,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,154,1978723,150983,177524.390864087,13580.7642926892,50173,4509.16991985916,52,0.0708938229032552,0.0710643534526737,7.08938229032552,7.10643534526737
4,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,206,1928053,201653,172976.916861576,18128.2382952002,50670,4547.47400251096,52,0.0946858392660771,0.0948600171477758,9.46858392660771,9.48600171477758
5,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,258,1877817,251889,168473.502693613,22631.6524631632,50236,4503.41416796303,52,0.118274071632423,0.118425128011837,11.8274071632423,11.8425128011837
6,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,309,1827760,301946,163948.898559451,27156.2565973252,50057,4524.60413416202,51,0.141778254838931,0.142101120061608,14.1778254838931,14.2101120061608
7,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,360,1777713,351993,159402.655399737,31702.4997570393,50047,4546.24315971409,51,0.165277742561649,0.165890343099492,16.5277742561649,16.5890343099492
8,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,411,1727687,402019,154873.446008379,36231.7091483972,50026,4529.20939135788,51,0.188767369768409,0.1895904331763,18.8767369768409,18.95904331763
9,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,462,1677661,452045,150390.375655948,40714.7795008286,50026,4483.07035243136,51,0.212256996975169,0.213049090525201,21.2256996975169,21.3049090525201
10,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,514,1627592,502114,145926.014062679,45179.1410940978,50069,4464.36159326925,52,0.235766814762225,0.236409850153097,23.5766814762225,23.6409850153097
11,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,565,1577547,552159,141454.273626377,49650.8815303995,50045,4471.74043630168,51,0.259265363388186,0.259809221209483,25.9265363388186,25.9809221209483
12,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,616,1527501,602205,136951.038499967,54154.1166568093,50046,4503.23512640978,51,0.282764381562526,0.28337339519901,28.2764381562526,28.337339519901
13,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,667,1477466,652240,132547.79603019,58557.3591265861,50035,4403.24246977688,51,0.306258234704696,0.306414335492664,30.6258234704696,30.6414335492664
14,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,718,1427422,702284,128075.64151033,63029.5136464469,50044,4472.15451986072,51,0.329756313782278,0.329815873332875,32.9756313782278,32.9815873332875
15,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,769,1377393,752313,123572.498892876,67532.6562639002,50029,4503.14261745334,51,0.353247349634175,0.353379563248823,35.3247349634175,35.3379563248823
16,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,821,1327278,802428,119094.895842793,72010.2593139839,50115,4477.60305008373,52,0.376778766646664,0.376809611728731,37.6778766646664,37.6809611728731
17,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,873,1277193,852513,114620.437173591,76484.7179831859,50085,4474.45866920195,52,0.400296097207784,0.400223206540087,40.0296097207784,40.0223206540087
18,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,925,1227104,902602,110137.903493623,80967.251663153,50089,4482.53367996715,52,0.423815305962419,0.423679055631598,42.3815305962419,42.3679055631598
19,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,977,1177041,952665,105751.093064192,85354.0620925847,50063,4386.81042943168,52,0.447322306459201,0.446634011639105,44.7322306459201,44.6634011639105
20,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q16/Run/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,1028,1127011,1002695,101263.835614008,89841.3195427687,50030,4487.25745018401,51,0.470813811859477,0.470114578903253,47.0813811859477,47.0114578903253
