stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
23,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0023.csv,1182,976959,1152747,88109.6438870347,102995.511269742,50030,4415.96019039063,51,0.541270485221904,0.538946797040862,54.1270485221904,53.8946797040862
24,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0024.csv,1233,926899,1202807,83623.2861499085,107481.869006868,50060,4486.35773712623,51,0.564776077073549,0.562422656357404,56.4776077073549,56.2422656357404
25,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0025.csv,1283,876791,1252915,79091.8361157844,112013.319040992,50108,4531.45003412412,50,0.588304207247385,0.586134471093153,58.8304207247385,58.6134471093153
26,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0026.csv,1335,826718,1302988,74585.1018163168,116520.05334046,50073,4506.73429946754,52,0.611815903227957,0.60971695527978,61.1815903227957,60.971695527978
27,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0027.csv,1387,776700,1353006,70019.1591846902,121085.995972086,50018,4565.94263162663,52,0.635301774047686,0.633609260162298,63.5301774047686,63.3609260162298
28,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0028.csv,1439,726626,1403080,65484.6315583667,125620.52359841,50074,4534.52762632353,52,0.658813939576636,0.657337179080045,65.8813939576636,65.7337179080045
29,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0029.csv,1490,676580,1453126,61011.3114718624,130093.843684914,50046,4473.32008650424,51,0.682312957750976,0.680744816005561,68.2312957750976,68.0744816005561
30,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0030.csv,1540,626580,1503126,56592.3628762588,134512.792280518,50000,4418.94859560366,50,0.705790376699883,0.703867942077061,70.5790376699883,70.3867942077061
31,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0031.csv,1592,576552,1553154,52120.8215738251,138984.333582951,50028,4471.54130243367,52,0.729280943003401,0.727266271121431,72.9280943003401,72.7266271121431
32,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0032.csv,1642,526552,1603154,47678.7179422866,143426.43721449,50000,4442.10363153852,50,0.752758361952307,0.75051056104074,75.2758361952307,75.051056104074
33,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0033.csv,1692,476549,1653157,43221.0115501494,147884.143606627,50003,4457.70639213716,50,0.776237189546351,0.773836495856471,77.6237189546351,77.3836495856471
34,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0034.csv,1744,426508,1703198,38661.01204666,152444.143110116,50041,4559.9995034894,52,0.799733859978795,0.797697702006292,79.9733859978795,79.7697702006292
35,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0035.csv,1796,376434,1753272,34128.0911864935,156977.063970283,50074,4532.92086016655,52,0.823246025507746,0.821417213164679,82.3246025507746,82.1417213164679
36,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0036.csv,1846,326434,1803272,29549.3916305643,161555.763526212,50000,4578.69955592916,50,0.846723444456653,0.845376271475655,84.6723444456653,84.5376271475655
37,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0037.csv,1896,276434,1853272,24967.759050545,166137.396106232,50000,4581.63258001935,50,0.870200863405559,0.869350677484015,87.0200863405559,86.9350677484015
38,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0038.csv,1948,226352,1903354,20425.7398080762,170679.4153487,50082,4542.01924246877,52,0.893716785321542,0.893117797940513,89.3716785321542,89.3117797940513
39,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0039.csv,2000,176238,1953468,15909.8951084499,175195.260048327,50114,4515.84469962624,52,0.917247732785652,0.916747954311342,91.7247732785652,91.6747954311342
40,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0040.csv,2052,125769,2003937,11349.5426724032,179755.612484373,50469,4560.35243604675,52,0.9409453699243,0.940611007258845,94.09453699243,94.0611007258845
41,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0041.csv,2103,75618,2054088,6854.36887229592,184250.786284481,50151,4495.17380010727,51,0.964493690678432,0.964132998575194,96.4493690678432,96.4132998575194
42,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0042.csv,2154,25493,2104213,2314.85430779427,188790.300848982,50125,4539.51456450164,51,0.98802980317471,0.987887012750152,98.802980317471,98.7887012750152
43,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0043.csv,2176,4431,2125275,406.668436155276,190698.486720621,21062,1908.185871639,22,0.997919431132748,0.997872017445989,99.7919431132748,99.7872017445989
