stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2129706,0,191105.155156776,0,0,0,0,0,0,0,0
1,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,50,2079046,50660,186552.687421943,4552.46773483375,50660,4552.46773483376,50,0.0237873208790321,0.0238217945041779,2.37873208790321,2.38217945041779
2,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,100,2028996,100710,182042.132733071,9063.02242370501,50050,4510.55468887126,50,0.0472882172468876,0.0474242697234934,4.72882172468876,4.74242697234934
3,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,151,1978492,151214,177498.275268684,13606.8798880926,50504,4543.85746438761,51,0.0710022885787991,0.0712010090828265,7.10022885787991,7.12010090828265
4,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,202,1928150,201556,172986.129775276,18119.0253815004,50342,4512.14549340779,51,0.0946402930733162,0.0948118085387919,9.46402930733162,9.48118085387919
5,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,253,1877995,251711,168480.924795482,22624.2303612942,50155,4505.20497979383,51,0.118190492020964,0.118386290221915,11.8190492020964,11.8386290221915
6,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,304,1827954,301752,163918.932534496,27186.2226222805,50041,4561.99226098626,51,0.141687162453409,0.14225792391617,14.1687162453409,14.225792391617
7,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,356,1777919,351787,159380.425499248,31724.7296575281,50035,4538.50703524756,52,0.16518101559558,0.166006665971424,16.518101559558,16.6006665971424
8,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,408,1727806,401900,154890.868248575,36214.2869082011,50113,4489.55725067306,52,0.188711493511311,0.189499267450384,18.8711493511311,18.9499267450384
9,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,460,1677755,451951,150416.682641548,40688.4725152288,50051,4474.18560702769,52,0.212212859427545,0.212911433403507,21.2212859427545,21.2911433403507
10,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,511,1627693,502013,145941.6043087,45163.5508480768,50062,4475.07833284794,51,0.235719390375949,0.236328270741969,23.5719390375949,23.6328270741969
11,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,563,1577641,552065,141461.570602905,49643.5845538718,50052,4480.033705795,52,0.259221225840562,0.259771038165589,25.9221225840562,25.9771038165589
12,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,615,1527575,602131,136922.08440809,54183.0707486866,50066,4539.4861948148,52,0.282729634982481,0.283524903889885,28.2729634982481,28.3524903889885
13,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,666,1477546,652160,132476.241896469,58628.9132603074,50029,4445.84251162081,51,0.306220670834378,0.306788758326326,30.6220670834378,30.6788758326326
14,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,718,1427504,702202,128086.827856241,63018.3273005356,50042,4389.41404022825,52,0.329717810815202,0.329757338303289,32.9717810815202,32.9757338303289
15,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,769,1377461,752245,123607.716844745,67497.4383120314,50043,4479.11101149584,51,0.353215420344404,0.353195277524872,35.3215420344404,35.3195277524872
16,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,821,1327300,802406,119118.777619095,71986.3775376814,50161,4488.93922564995,52,0.376768436582326,0.376684645051182,37.6768436582326,37.6684645051182
17,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,872,1277210,852496,114663.591772181,76441.5633845955,50090,4455.18584691408,51,0.400288114885341,0.399997390556447,40.0288114885341,39.9997390556447
18,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,924,1227163,902543,110222.795081837,80882.36007494,50047,4440.7966903445,52,0.42378760260806,0.42323484161684,42.378760260806,42.323484161684
19,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,975,1177120,952586,105827.620488898,85277.5346678789,50043,4395.17459293892,51,0.447285212137262,0.446233564960192,44.7285212137262,44.6233564960192
20,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,1027,1127065,1002641,101393.261155874,89711.894000902,50055,4434.35933302312,52,0.470788456247013,0.46943733112435,47.0788456247013,46.943733112435
21,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0021.csv,1079,1077030,1052676,96972.9488871424,94132.2062696341,50035,4420.31226873209,52,0.494282309389183,0.492567592917162,49.4282309389183,49.2567592917162
22,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q025/Run/patch_lookup_tables/stage_patch_lookup_stage_0022.csv,1131,1026989,1102717,92525.6040774254,98579.5510793511,50041,4447.344809717,52,0.517778979821628,0.515839308460725,51.7778979821628,51.5839308460725
