species,patch_id,pu_id,patch_area_km2
Acrocephalus newtoni,24757,165,102.078653456916
Acrocephalus newtoni,24758,165,40.8599812564824
Acrocephalus newtoni,24762,165,31.5434512129522
Acrocephalus newtoni,24825,165,23.6241396137344
Acrocephalus newtoni,24831,165,0.460018957653165
Acrocephalus newtoni,8564,177,15.9344907475325
Acrocephalus newtoni,24769,180,10.8398101803697
Acrocephalus newtoni,24827,180,9.00028869306875
Acrocephalus newtoni,24832,180,0.275574209494948
Acrocephalus newtoni,24833,180,0.551122962650299
Alectroenas madagascariensis,1379,9,15.9344907475325
Alectroenas madagascariensis,6278,9,102.078653456916
Alectroenas madagascariensis,6279,9,40.8599812564824
Alectroenas madagascariensis,6283,9,31.5434512129522
Alectroenas madagascariensis,6290,9,10.8398101803697
Alectroenas madagascariensis,6332,9,23.6241396137344
Alectroenas madagascariensis,6334,9,9.00028869306875
Alectroenas madagascariensis,6340,9,0.551122962650299
Apus balstoni,7950,44,102.078653456916
Apus balstoni,7951,44,40.8599812564824
Apus balstoni,7955,44,31.5434512129522
Apus balstoni,8012,44,23.6241396137344
Artamella viridis,16028,63,102.078653456916
Artamella viridis,16029,63,40.8599812564824
Artamella viridis,16033,63,31.5434512129522
Artamella viridis,16111,63,23.6241396137344
Artamella viridis,16117,63,0.460018957653165
Artamella viridis,16040,70,10.8398101803697
Artamella viridis,16113,70,9.00028869306875
Artamella viridis,16119,70,0.551122962650299
Artamella viridis,16042,69,27.6076475615094
Asio madagascariensis,234,1,15.9344907475325
Asio madagascariensis,1506,1,4.48757203954178
Asio madagascariensis,1560,1,102.078653456916
Asio madagascariensis,1561,1,40.8599812564824
Asio madagascariensis,1565,1,31.5434512129522
Asio madagascariensis,1572,1,10.8398101803697
Asio madagascariensis,1605,1,23.6241396137344
Asio madagascariensis,1607,1,9.00028869306875
Atelornis crossleyi,4,3,74.7411809685771
Atelornis crossleyi,7,3,31.5434512129522
Atelornis crossleyi,211,3,24.2948604697475
Atelornis crossleyi,221,3,23.6241396137344
Atelornis pittoides,1145,2,10.8398101803697
Atelornis pittoides,1203,2,102.078653456916
Atelornis pittoides,1204,2,40.8599812564824
Atelornis pittoides,1208,2,31.5434512129522
Atelornis pittoides,1239,2,9.00028869306875
Atelornis pittoides,1245,2,23.6241396137344
Athene superciliaris,558,19,10.8398101803697
Athene superciliaris,3768,19,15.7254980937225
Athene superciliaris,3814,19,57.4365930851843
Athene superciliaris,3815,19,40.8599812564824
Athene superciliaris,3826,19,9.00028869306875
Athene superciliaris,3849,19,23.6241396137344
Avahi laniger,5764,8,31.5434512129522
Avahi laniger,5773,250,23.6241396137344
Avahi laniger,94,208,73.0841178958782
Avahi laniger,5718,249,10.8398101803697
Avahi laniger,5774,249,0.275574209494948
Avahi laniger,5775,249,0.551122962650299
Bernieria madagascariensis,22293,124,102.078653456916
Bernieria madagascariensis,22294,124,40.8599812564824
