alpha,beta_logGenLength,residual_sd
0.4088273040062277,-1.1769864573222315,0.1110256517965218
0.1340751988666317,-0.9214897756789857,0.1577755651747364
0.5542859361169752,-1.297807826049379,0.10857430358135971
0.21836197605590793,-1.0297201700487024,0.10278370213652785
0.20384330520268296,-1.0100644474471903,0.14596814676033512
0.2793713379661829,-1.0841619129956632,0.09490480643183047
0.18666336171912432,-0.9989718506974734,0.13204801386369025
-0.04203191470579966,-0.7615322405256781,0.1308635936546575
-0.06447606472290102,-0.6966936407215252,0.17618174519923596
0.21205942437710384,-1.0392466361827934,0.09588430337625403
0.23827742150552061,-1.0495040245005065,0.10539597992714345
0.21011207047347796,-0.9810280508672287,0.12856283152353315
0.3126945522265149,-1.0773971488384977,0.12415122771873224
0.04654023119406729,-0.8756215293082866,0.09384769719747706
7.81352649792344e-4,-0.8763376880206357,0.11079166394378998
0.23304713866800728,-0.995552536985859,0.08728425290314404
0.25976240797654904,-1.125873733650753,0.1648806360380876
0.3461810107214567,-1.134633039844927,0.10136845227094002
0.10624192356075084,-0.9931896571101769,0.13600062516053724
0.1737526996599243,-0.9793441260874205,0.08471150967337811
0.05887643095052643,-0.8333340316511336,0.10449566883395539
0.2851532143550055,-1.07108381222318,0.11406644260156483
0.29282895104822765,-1.0911317209095281,0.07514130763791274
0.2720654054046763,-1.10555603584621,0.1263810791631217
0.020529200319977868,-0.8316954433789299,0.08043197760354381
0.37202623139652286,-1.164688853203391,0.09862113056366058
0.35496239667137935,-1.2175140091595438,0.14989006669654273
0.25017143740452596,-1.0705682067553466,0.1510382276921891
0.28488033000334156,-1.0425431651598445,0.16263122184746615
0.21396339631620223,-1.007863694085696,0.08487887949016205
0.2048854264013058,-0.9361839151014507,0.11079009670972906
0.3621466680623988,-1.0719740143087535,0.10236621731841028
0.19443034455241753,-0.9866855130613554,0.08913599855566426
0.150658208673118,-0.8880034016090819,0.12244954260879083
0.3956571406885717,-1.2019962224818757,0.11890631581418258
0.25316719742334964,-1.0837783354770307,0.09493452231791272
0.26250115971983395,-1.037709785089168,0.12698685605339755
0.11936393905799321,-0.9330070889602632,0.09332838410588619
0.21141617770600454,-0.9909140346670217,0.10182547385667051
0.2429555036377366,-1.0256670270524721,0.09069951289074768
0.31131032554166843,-1.078149046968391,0.09506017115093907
0.039482011821495654,-0.8190126812381051,0.11441707941747697
0.30138620071194244,-1.152807218854338,0.12308006277665623
0.29536747799321594,-1.0852045407199216,0.09883291248900897
0.279430368335378,-1.0795087395717873,0.12046009559650642
0.28264452651250427,-1.1074623623811002,0.1584252002522283
0.14481423620036052,-0.9503787695854196,0.0943212110065496
0.014316352902880646,-0.8231489260950774,0.14926998387222715
0.19335616712619183,-0.9939411461582551,0.10471727180849887
0.045734574484660374,-0.8279666272917401,0.1005831928454318
0.31001301781404444,-1.118732088934589,0.12694180485182568
0.22189685025145656,-1.0395325336499375,0.09718356054825275
0.3206468796518463,-1.0925529132950387,0.1092877822001698
0.12436843526597942,-0.9391507079969659,0.112814020508746
0.15284918531522904,-0.97644445954289,0.13127875481528106
0.23232547271015136,-1.0668192063795552,0.09881123705896462
0.4084111247184266,-1.1851339765806004,0.09545196002858533
0.18096816709955513,-0.9376289657254842,0.13245107727049932
0.2134413458754193,-1.0172442429636748,0.10431771255298336
0.2806984633036142,-1.0484066955546603,0.13635588492628511
0.06313521290686845,-0.8065307788267714,0.13030445639438504
0.30282702966563063,-1.0293749150653921,0.09670038708672367
-0.009923694189999818,-0.8247236006393661,0.11660191127237973
0.34095084142146276,-1.0544127877300522,0.16576984739662431
0.05019251739883954,-0.9015897936159089,0.11535293734311983
0.47950884255256765,-1.2670642236844918,0.14930022778381075
0.2842859313628215,-1.075872193928667,0.09481509753085306
0.2119285602346775,-1.008970932009856,0.09709547415674212
8.072247125204615e-4,-0.8195587009891037,0.10817432470287593
0.3645604078985016,-1.1332384111128202,0.10911361044524118
0.06992567138792745,-0.9011459349903612,0.15473643732373465
0.10241577739102155,-0.9013680351822179,0.1381504340994103
0.11396533489219873,-0.9409227094711441,0.11306239532296679
0.07437815066335725,-0.8729986362902161,0.09625531874430643
0.26510051932074263,-1.088809930413049,0.09077936567946138
0.29985252795451245,-1.0859424825912938,0.11596101333590068
0.25979386775999747,-1.0598165061152165,0.12853554391099759
0.20938167783149803,-0.9866635884198505,0.11441869139604811
0.15802367303720594,-1.0063618113779458,0.1319924493721525
-0.13315681244172106,-0.7183906432165664,0.14840883103458274
0.4067133377486377,-1.1768796831720616,0.10700732925977416
0.15509801689788222,-0.9405501093777046,0.07712900954099373
0.20378560310319488,-1.0045249870603343,0.061286415094237205
0.12591740176798824,-0.9587490980124334,0.21626975512212
0.12245730881446326,-0.9613458285744284,0.09246838723566546
0.4063362232561325,-1.2078177934864893,0.21451491186668067
0.3205389835875606,-1.060628217028665,0.12605738922960258
0.3204741768856043,-1.1267752655409577,0.11601124155499219
0.3185191176030898,-1.1072133279728449,0.13519412840832662
0.3949066187001488,-1.2046097187616105,0.14989909076191213
0.1272254199629693,-0.8846047839010075,0.0944985158777589
0.1836461581042591,-0.9180778176600294,0.16653062887324058
0.3747295842907865,-1.1578637784066121,0.06779438131464441
0.1938785809644677,-0.9994840763459826,0.09292021727746547
0.18030241195450597,-0.9607430146693485,0.0883798242918173
0.2847992535103297,-1.1142960688840111,0.15545649621214724
0.32934853517945073,-1.1530290405336547,0.11082931996951778
0.5062126329248191,-1.2890033837232604,0.14087265649146039
0.14164493978446066,-0.98405574479768,0.15704286933955675
0.13193959712499467,-0.9306890304327404,0.11487167857517809
0.2624886878238375,-1.0867837857340306,0.12078080948785841
0.15988409405016657,-0.9318810180902981,0.11170735016690705
0.45864901617585013,-1.280995619476363,0.1765384792034814
0.15747449312297243,-0.9588241166350471,0.1045080416451997
0.15890751262031294,-0.9699196065516384,0.07048196129489417
0.2199306860124203,-1.0205992086425255,0.0977143483963445
0.08832456130976288,-0.8900124486424377,0.0786808631990562
0.1685184911328714,-0.904761492510872,0.10836813293117198
0.1806281730668465,-0.9442054279165031,0.11898957541334257
0.4126831293848282,-1.190494871141918,0.1269595170561135
0.39534723971980734,-1.1493534440055748,0.12310633303273627
0.2167150538455877,-1.0496670208655807,0.1296499952196677
0.3490316253868643,-1.1235037048877736,0.08708186779798938
0.3447223349790899,-1.1312581868587042,0.10260013414455849
0.41982759152475885,-1.2292897986728508,0.15531693580298944
0.4706242075981674,-1.2576804362459426,0.14858237901066013
0.24535120272384703,-1.1115171627283167,0.15502613379408164
0.2584381430535539,-1.0069220582232263,0.10625880547729333
0.23289690244726569,-1.0244198614333813,0.0849435688193292
0.12398524139919737,-0.9230993420216401,0.09104094753480381
0.2060217666368187,-0.9696355261475382,0.09158008304655821
0.26875347521412424,-1.073837504337216,0.1365524012242007
0.2649033732797698,-1.076777718451349,0.083384125276101
0.3999869989811425,-1.1864189427688727,0.12738377893053993
0.2015546329499485,-1.041802065516142,0.08870634801530694
0.3189461985213098,-1.1745292665072191,0.11205516615596088
0.35243305820077475,-1.182506818097175,0.13995093431748495
0.31818628319184067,-1.0912751618114085,0.09735841315578407
0.15523793173734632,-0.8830081251821126,0.1628220430080232
0.2854329822722429,-1.0653711514739665,0.13096443648968203
0.3537586663506095,-1.1417161714807003,0.11278748948272627
0.2795945011601487,-1.0536233511652493,0.12106355392065175
0.3132444320612746,-1.1053875997514395,0.09687868302530105
0.37942024702961186,-1.1558613919544383,0.1391954958431576
0.1499646809586323,-0.9420555072775452,0.10933183841803511
0.4285611952733826,-1.110506067628163,0.15335726450737666
0.0691520422719648,-0.8768299877782948,0.1107131116376068
0.1658278651342779,-0.992253385262818,0.16094534916913106
0.18537943262965542,-0.9744015781666888,0.09880790178561102
0.11728116178065057,-0.9509459657856097,0.13981323430576653
-0.07569203585438847,-0.6853105893545766,0.14084974212820522
0.15547966135360278,-0.9752427252966325,0.12851225475122346
0.2918941164196508,-1.0471519288259252,0.1829638029026399
0.13110154253629408,-0.9218648382310987,0.14216981652801478
0.047511127024611605,-0.7861477595329447,0.16117245906836486
0.2858077144790585,-1.0891571487905662,0.09144311689948649
0.11661003283825952,-0.9181826242052835,0.0968695638014066
0.2528852384853073,-1.102861542143556,0.1266092734517768
0.022391928041855365,-0.8307960499576817,0.09438488653877544
0.21428004905604361,-0.948880748008971,0.15148099278810995
0.27831313398705754,-1.0480907560964865,0.10349129978452842
0.3247109069111046,-1.1035686128863549,0.09579037768888361
0.18359769165747586,-0.992652121132955,0.13150536913661245
0.19413331760078106,-0.9905082121995359,0.0815099160009606
0.20355211781154617,-0.9987844168879353,0.10422160886342503
0.042547742873373616,-0.8484315722827388,0.08494069322689105
-0.06068749900318622,-0.7972736123203649,0.12654942746870018
0.046647517188849796,-0.8219332949678736,0.156008025762928
0.24912774839481064,-0.9987350540909946,0.11313861233527175
0.33752461855542426,-1.2097155690414572,0.11371966593335343
0.17665230938394508,-0.9867297378298185,0.09650596185073183
0.2801326486228731,-1.097443747782324,0.09765394548978805
0.15095635400638632,-0.9487454640300218,0.0840906275435086
0.3884920010828029,-1.1808368900627713,0.14441442937010296
0.20194836731279706,-1.0419434755764854,0.10621737799977549
0.10393484865320438,-0.9212870676893242,0.1122095213866525
0.17614856577839702,-0.9308149003489892,0.1285538086895748
0.2505933554061586,-1.0788810686004866,0.10141714565050094
0.20625103542772869,-1.0170710079247016,0.09616202832917882
0.13177148743223793,-0.9146445512326543,0.07626600305770245
0.21036934900001172,-1.0025488265007978,0.1279677809936221
0.3180172717479496,-1.0960388112084924,0.08478476569962443
0.10724089569650219,-0.8749855826751965,0.13555696665234682
0.24594143562048987,-1.0010783594605213,0.10813699357902527
0.27812103919609066,-1.0064901818402618,0.15437378481350864
0.2045573741631949,-1.002729513512386,0.10751043665765382
0.29872718541338883,-1.142017906447551,0.08225607398451333
-0.076366864236020765,-0.7843617192712343,0.1223125995868436
0.14903105098710331,-0.9690135876700273,0.08901065686418436
0.36750194895472127,-1.1382552063563163,0.09680644742388145
0.18650255000847113,-0.9942026693169913,0.13670225774935685
0.30946253515567473,-1.120929115006189,0.10300523746385007
0.3886712203730197,-1.2205819539281728,0.09079533474762536
0.2043926844823284,-0.916879293470333,0.14889284626089538
0.22956438625862932,-1.0319198088168997,0.09602743132670752
5.513117560999974e-4,-0.81032009388896,0.11245602726218297
0.08497942711576839,-0.9214908885472434,0.13843734185799245
0.15870806631932674,-0.9691413132462229,0.12650703203191999
0.38925174067390444,-1.1603400976328855,0.09707239685192877
0.12972509616279954,-0.8817127883496673,0.1267990089423895
0.09338726143711097,-0.973409785306442,0.19344968683463645
0.2507683863602256,-1.0496265876408852,0.10443638891713153
0.35158032149686186,-1.1357557475163775,0.09099763340044265
0.20827877016695875,-1.0245186069080021,0.08820921567815312
0.3369597685606018,-1.1672645967148494,0.10034352834074692
0.09630674598794303,-0.9108346133626102,0.10261950702690185
0.24186463327093086,-1.0249724611718793,0.08418320900058619
0.2903609611995653,-1.0320766847309952,0.11592282156678359
0.23233726569060006,-1.0372945463042684,0.127513315068438
0.1583951217825288,-0.9807393949272949,0.0973549937741832
0.06945642422444853,-0.7836924106738368,0.198036704992881
0.12033686101974868,-0.9439974223874759,0.09550623856231005
0.1824720198832696,-1.0007370569581011,0.115254812796533
0.23516629401916983,-0.9814268120200496,0.08389933322624198
0.2944562480775876,-1.082718909771909,0.10697642688944027
0.2679622929991231,-1.1483023341104346,0.11949277441587364
0.22389040970563048,-1.0091433538893115,0.10295337131073329
0.25641442665441444,-1.0460038720432023,0.12478528691206123
0.07364535531295904,-0.8785835039914677,0.14515946159335452
0.23893470457738766,-1.025103227062534,0.09185485366277023
0.15511379196667455,-0.9096002641924409,0.09139926206391544
0.012153316961323463,-0.870338443374076,0.11976012717667528
0.27948558566017145,-1.0800310274809162,0.13409118411793364
0.05928338202808549,-0.8265953186251686,0.09232646158607839
0.12340003920323714,-0.9402284642099792,0.19810129674019
0.12463910169311211,-0.9297165304660533,0.12672238045677686
0.37501362730477583,-1.1330370067762094,0.13220831992454385
0.25841172726109507,-1.0468411928205474,0.09245645689057369
0.3284374942762476,-1.0967149387251394,0.10682848087782242
0.33023231660416336,-1.1121052555044668,0.11380260109839799
0.37447977943814464,-1.125489761461582,0.12290253909899126
0.29980497025040337,-1.0665816587700612,0.18032398967960228
0.13382877766290563,-0.9597851826087194,0.11526147622171688
0.32812183644512527,-1.1391794868033882,0.11267660943218433
0.17477337985948457,-0.8970465058923084,0.14024904606412641
0.16940114468831124,-0.9761418848586552,0.08821500066254932
0.19204157548026418,-1.029228735307624,0.10508434170092168
0.09504262182903249,-0.9163818588877518,0.10310611056023974
0.12702190480422204,-0.9469102322804624,0.13028420219532613
-0.034045412236224926,-0.8026500889991951,0.12422639857950113
0.18627880938926614,-0.9677030152563957,0.11195470037263447
0.029485154523113448,-0.8495447870695615,0.14959362357046746
0.2661152790973123,-1.0547749787691183,0.11190132850822954
0.20672064358940062,-0.9886860144386388,0.10551151494414653
0.09520194995070702,-0.9153767148941984,0.1051049724337669
0.29700002404348175,-1.069427446938575,0.09935118389535204
0.3106680137385567,-1.0675791582950929,0.10518525044022803
0.1770860348017822,-0.9407190730358949,0.11515034263471646
0.20894676233356002,-1.0038650597869487,0.11775317881912076
0.245198243062364,-1.0183689499412873,0.13357830670144238
0.37963528867557755,-1.136597011863687,0.11916395385932742
0.23157416696628944,-1.0463644032306614,0.10294616198492015
0.11646855641394649,-0.9476462904910713,0.08826167011727576
0.37556953476449517,-1.1917639163828533,0.13887068877389988
0.2899691937479388,-1.078358265061923,0.12540191263577147
0.15465640984849072,-0.9883155800266349,0.12056855999188784
-0.027563586157087865,-0.8344657184365004,0.14932091580390805
0.27691262255881927,-1.0735971956307737,0.10981362578656788
0.16696903773770544,-0.9439331648608261,0.09645176745336186
0.07142809460085753,-0.8357529112017811,0.13556434437155718
0.28733832650058405,-1.0968901213031272,0.11463018197077653
0.1925100991628983,-1.0274507480880253,0.08416842955400847
0.09973487891757057,-0.901282932567682,0.09044160524753504
0.05583696532322475,-0.8324953603241281,0.12965419626966695
0.10432399802043776,-0.9359794700819568,0.15443124675482564
-0.028543622519684113,-0.7646544062472448,0.1179667821482875
-0.1923879664594829,-0.627393277819276,0.22300854296915418
-0.04935862683585804,-0.7145590626288695,0.11382293273041924
0.11807291669868435,-0.9134924074203048,0.08446472384461497
-0.02398578028484476,-0.7644269454243403,0.14612560005202724
0.13663154119755205,-0.94845008849216,0.12551071789844553
0.1570335398953633,-0.967291090198323,0.09781618573181289
0.35311952124921864,-1.128925113118725,0.10091044475733536
0.006422629806284039,-0.7517737362895401,0.15194466804379497
0.15662306761709321,-0.9500058578889196,0.08536031557799155
0.09458084370396026,-0.873572962334153,0.12262357805184579
0.1610605281533903,-0.9481279849187605,0.0748592629722024
0.17737598587605471,-0.9467467079079143,0.132998711502749
0.14034778385074242,-0.9287359602828631,0.17182961459941515
0.09684068203649965,-0.9703466908288608,0.18651126876019294
0.09904269514430886,-0.8417862462320066,0.11742383743189198
0.1503393607855897,-0.9230612582233985,0.12243696345299601
0.21182669210480964,-1.0047751691781606,0.09931928202197557
0.3507697135894373,-1.1305140442411925,0.08345167045178517
0.4120877944729565,-1.2016277392463048,0.09926726735179302
0.27362023911137173,-1.0993959007748904,0.1155525460235522
0.2212819563713754,-1.0136342101127496,0.08145614460370378
0.18660149425915942,-0.986958777840933,0.09251341176983181
0.12925344492960644,-0.9527034534413044,0.08873669130797979
-0.047665134393069276,-0.7345850938557084,0.128361576709962
0.2314657394210092,-1.055217038617386,0.175830894630555
0.40508309057722036,-1.234137300341888,0.1151786996720454
0.3306201566199848,-1.1118952252238117,0.10194096990459448
0.16060467010923632,-0.9549051668996461,0.09751368808749811
0.2656790438374936,-1.0593452734393043,0.10260050672949703
0.1768307270352093,-0.9463567587027274,0.11305875972196672
0.045388513075485824,-0.8840899476606947,0.13188386432529633
0.298520626644325,-1.05815798247695,0.09724138688065863
0.23873416001367292,-1.0421640933280787,0.08613670543459054
0.2747315044170639,-1.0985977752435103,0.13869200882527621
0.16928458289434437,-0.9894229946696315,0.08913506013978983
0.17300537718563333,-0.9832648423208219,0.09550513335674791
0.20491167884881192,-1.0109670931395933,0.10706588131017292
0.2688977807069235,-1.0419487126616256,0.11381435850960525
0.4025290938692651,-1.1703227214414262,0.14548488614154614
0.013671210538280253,-0.8297756256207617,0.11458593596527136
0.4316847784355562,-1.2218097799694445,0.11821827390173889
0.21737339184696447,-0.9539170660195971,0.10816423558482105
0.22515887636648535,-0.9597692062947331,0.1259932842774068
0.4147866075281164,-1.1950348629725318,0.08901438246189856
0.1611056614843941,-0.9696380292162355,0.08997870281315608
0.011965562608301103,-0.8606685857687918,0.14180549487792174
0.19548993620030672,-0.994161357141368,0.0628383902186859
0.22320446970269342,-1.0562877954010694,0.12175477900715101
0.21662058115694957,-1.0507168144831407,0.13559520927582236
0.09877733746535075,-0.8693768270695102,0.18043914757086957
0.19682225372674395,-0.9741063585318004,0.08225274420322656
-0.042963011815007036,-0.7069839615837801,0.11476139961320281
0.22719765951310505,-0.9821940761019177,0.07894399789583588
0.15505585892354065,-0.9641740628017411,0.08520471791844766
0.23647038918900595,-1.0329758556610253,0.1251007460570402
0.08928398924070266,-0.9218890201277301,0.12112496757971772
0.0604050600055605,-0.8601145995259797,0.09839751280461866
0.1761689574064519,-0.9527556897822482,0.1153949410964354
0.3601254990289065,-1.1936306513005357,0.1869912547287787
0.34219898851102115,-1.0987054737720614,0.10435444451583871
0.3699756924606364,-1.1562071693179503,0.08485322948273051
0.2558499275708857,-1.0516553983199162,0.13919335832012703
0.15864872312208733,-0.9143271653188777,0.11475438361870577
0.1413244339457373,-0.9732894160422789,0.12734315046524503
0.2821570829576486,-1.0554412438218284,0.07811176546718573
0.27610567414069564,-1.0846778784197553,0.0785036415158311
0.391322908333723,-1.165415117577069,0.09993745606413307
0.30942056956899555,-1.0581261420064754,0.10885493237963673
0.110308867564584,-0.9125165587607297,0.08569910474142274
0.14586254238574345,-0.9599340043363714,0.10342031544653704
0.4038509997752366,-1.164838608206991,0.11676037185006789
0.21811915250497546,-1.0271681360127285,0.1307450147998635
-0.024376199844037647,-0.7528284476680793,0.13503671354522373
0.33563189047757824,-1.108727226791008,0.11780398363056338
0.20873951516056982,-1.0067714827111738,0.07900279788180221
0.2953273623483913,-1.0933270887649857,0.12210741653949345
0.37835976937991656,-1.1458662265938084,0.11537880194759992
0.15276382124729243,-0.9546308504890569,0.11033084453608331
0.24743793766714203,-1.040685491940147,0.1125802327178613
0.16929889529925993,-0.9492572162660325,0.12695510097508683
0.24627397627228204,-1.030826904794826,0.10725388023082935
0.3767651057387752,-1.193157832575097,0.0920870064512113
0.017120222900267427,-0.8158832086165737,0.14354714405628305
0.09696430209651782,-0.9393034655587768,0.09861425756080716
0.3788680576327107,-1.170835545829234,0.10372910276113247
0.4479888591388126,-1.1530077028181955,0.13719927108237806
0.23287836240913562,-1.0385897121686338,0.07989834347711222
0.05723408017408401,-0.8083168382050501,0.2108267960634195
0.10074762865720605,-0.9615691231706592,0.12212329311412726
0.18052570417685318,-0.9434488693808852,0.10421524690836591
0.18334374045230792,-0.9406444164467923,0.07952287632167154
0.2420189528748162,-1.0542798873407362,0.09766149400984675
0.42202986683736937,-1.230121860947794,0.11434121681029984
0.23789483131615427,-1.0834224129804675,0.11480701607465096
0.18384933731627515,-0.9752409414639492,0.09112845003559253
0.03661486798973028,-0.8645782768101098,0.17864989827376365
