alpha,beta_logM,residual_sd
0.7078162425932696,-0.2772937565662819,0.3209714464318114
0.70769248551212,-0.28605893403383337,0.35192435897644575
0.6459159376843,-0.27242322890418774,0.3386292524858415
0.6629374886496409,-0.26832622594222627,0.370280587014254
0.7186962688363624,-0.2887738691273803,0.34538877420949843
0.5968316793467816,-0.2562967244154342,0.326703831680478
0.690491439115572,-0.27954773562166224,0.3287737010027157
0.6978153598280621,-0.2843694329056848,0.3717422860843276
0.661081233860366,-0.281270882659151,0.33353740302277074
0.6350904931459057,-0.26837917348679435,0.31629032929469747
0.6440904774675343,-0.2778614703790089,0.31383750845937863
0.61710209437373,-0.2564457894796494,0.3623051287085352
0.6381741414762496,-0.27452057912203803,0.3544038302395912
0.6745656312345624,-0.26803227567765425,0.32325875764283535
0.6536147065435994,-0.2785539239170421,0.35098392720740623
0.7761616634399732,-0.3091041156958854,0.31536106895563143
0.812443344572254,-0.3169729778113688,0.3347500552755459
0.7522902891512472,-0.29489353196106244,0.33580642546783296
0.7906802934423549,-0.31325634313789097,0.32625081793414995
0.7999828424615011,-0.3170826885341574,0.35252994378441016
0.7189154888403855,-0.2937357434813541,0.3453936704532184
0.7423048388506712,-0.29626564733766064,0.3271623597354734
0.7088622363986848,-0.2886272890219275,0.3411782417160887
0.7528849574017619,-0.2993782541945717,0.3468278572921335
0.7668398752064439,-0.3006640251636579,0.3372251576559172
0.6643495058802353,-0.28122158676504116,0.35479989917984117
0.6805763582274099,-0.2859255521940981,0.374158959943505
0.7118917283029284,-0.29749395621613967,0.3143148961085368
0.6824038246555286,-0.27406374475749806,0.33232836543252653
0.6684625995651998,-0.27933181311909966,0.3277452143518861
0.5951169305823197,-0.2613452911107007,0.3299550433953927
0.7023028591398348,-0.28572828044531695,0.3597645048634357
0.7271052470243884,-0.28741137447847004,0.3318202070572064
0.7669014273000071,-0.3060170511738734,0.3629617151695748
0.7460525084371159,-0.28664190377633525,0.3640843180885089
0.8026084545921031,-0.31923831804228886,0.34201886135416293
0.6734477439123526,-0.27327361269230627,0.3560253058055047
0.659976491906507,-0.27834776790119337,0.3200832275250528
0.6414181506682045,-0.2724846059986165,0.3210153196231955
0.6426776677952609,-0.2735505921926096,0.3508025678911714
0.6920561427294436,-0.28268666962454997,0.34304415313749326
0.6038613027865868,-0.25005796754383414,0.35921616669091533
0.6945931285865361,-0.28321176973182344,0.3253227376751689
0.6584624130700962,-0.2779729194003761,0.3592538953133546
0.6042632522047622,-0.2592891296132681,0.33647551521081115
0.5825625463148687,-0.2406748754619387,0.32770475479289135
0.6995628659041153,-0.2752016593774431,0.32242796466424906
0.7300623442146941,-0.3049351436450516,0.3475054674192349
0.6817989031325559,-0.28295244389737284,0.33271664905102627
0.6408768071061748,-0.26737732242606493,0.36123057204889547
0.6472098280295371,-0.2753183133215838,0.3319603247748608
0.6397725160594305,-0.2658799230215732,0.34661949165841066
0.7696318422790213,-0.30258376888886,0.33938247144691247
0.6444895409770884,-0.267136545401942,0.3469649837199087
0.5519671688394667,-0.2576203360842446,0.35458233932036426
0.6539992436978078,-0.2602859317857256,0.34210305995131585
0.6657003152631191,-0.28046148261883963,0.3450422675218285
0.6942163373974378,-0.2746823340099834,0.3180344231779474
0.6922665580818224,-0.26756285230236587,0.35624700302210516
0.6590756084879641,-0.26475143465935785,0.3352562640121699
0.5304602833312375,-0.24180105788708892,0.32237593086925065
0.6637146903567498,-0.2791134863046064,0.33643467388224607
0.6867502946086893,-0.28049492796528835,0.3516842454898136
0.8342771339775823,-0.30741918604048873,0.3359324135635277
0.8050409491980334,-0.30987108739857006,0.34912831694990265
0.661514746511365,-0.2682904111353273,0.32163441760514333
0.6879386127075139,-0.2827081284999853,0.34965568014125287
0.7062714058761539,-0.27837288291782725,0.3244624062500735
0.6692065991658511,-0.2773951323110012,0.34859494430380383
0.6483947128847347,-0.2654985150945342,0.3196451717055778
0.6493343320863403,-0.2690452963246023,0.31973146375555955
0.6947162625145652,-0.2781270313573213,0.3154953743962669
0.7801519277215957,-0.30639075802884547,0.3553724000409314
0.756354605169264,-0.30246300527534686,0.3581462786439453
0.727131229550453,-0.29161248885226093,0.31831922512948274
0.6726691550115893,-0.2793444488542287,0.3178640762225918
0.6250032511753496,-0.26467350497934217,0.3572887938554287
0.7440026953714293,-0.3028330483469401,0.3351169104049644
0.7641992096907239,-0.30136824370240684,0.3247662463454049
0.805506944061967,-0.3061671128865034,0.3542722734481424
0.657550815583382,-0.2742466987328159,0.3201383687162518
0.6462892489125749,-0.26740398443048713,0.3494402783529783
0.612962658973888,-0.27145704569676565,0.33669488101426637
0.5915008323587071,-0.26324499708579197,0.3283562373076854
0.6954821102683035,-0.2911559460086155,0.32277375710764505
0.6113117326780015,-0.26388144880327963,0.3442280708793063
0.6869038054633958,-0.2855533749098546,0.3512299344366252
0.7316679486855291,-0.30025357078501563,0.31748448302544613
0.7539839703183465,-0.29358289657031705,0.3688407853556022
0.6963694087853303,-0.2825654875808049,0.3504353884712203
0.7199532311324692,-0.28819004963817585,0.3290209874953611
0.635336377869797,-0.2563799936079883,0.35650004707236044
0.7022526989789727,-0.2874130496225737,0.3456129382077059
0.7356324686747577,-0.2915037561934715,0.34679820804534633
0.664030205800209,-0.27317290592125537,0.34236941288409556
0.5998931013663581,-0.26927561531517447,0.32426948437979214
0.780936508113979,-0.3117920790322163,0.3275925159552708
0.6670650626583686,-0.27748560690679525,0.33693509772730285
0.6416733911335152,-0.27557580420063343,0.3484965662164649
0.6891826427835066,-0.28314259436188977,0.3485089366763353
0.795631894258633,-0.3007866373197596,0.32970076179982694
0.7219123695586747,-0.3012460583082989,0.3108678440357862
0.7486651966051948,-0.30293693529681864,0.3341612629092264
0.6256240469458723,-0.26583143292618816,0.3307740530329465
0.6491038940689305,-0.26753676624971146,0.33233990551192716
0.6860846814355698,-0.2939176081846763,0.3382657403471039
0.7174694906723377,-0.29814760681257196,0.3482473215354089
0.6554130149506434,-0.27246595828946707,0.3354306689910845
0.7556393759382345,-0.2979038365480936,0.3204218479653913
0.630037397350207,-0.27192144885722425,0.3299305061243049
0.6994201809628336,-0.2802482004241575,0.3297027894145358
0.5906762960447817,-0.26582709852124436,0.34906248466573464
0.6508671146052071,-0.26400650819093235,0.3395365856970125
0.6400028486396386,-0.2687686666379848,0.3345219384487968
0.6746851317955459,-0.28368500147159376,0.33902741446355994
0.6879251075973059,-0.292962043014756,0.34886472708331234
0.5539913484668356,-0.24136318358825393,0.3322497126629254
0.6749634900494959,-0.2699948022706623,0.3558788027012836
0.6513540560416219,-0.26592645064636095,0.33737929244610465
0.7554634931472226,-0.29839679617341436,0.3605694663159177
0.6802657520772804,-0.27798856440702674,0.3231933979220627
0.640101321922269,-0.26981266125806963,0.32923671665665794
0.7276693944851774,-0.2948356452219326,0.3441629992035255
0.6594151820629013,-0.2840661785379875,0.33906533995152593
0.6718111591967654,-0.2756473106686438,0.3310711395711979
0.7245030563215514,-0.28566647490379937,0.35222757294245055
0.8162266357148416,-0.3114506454964917,0.33031266945833565
0.7140052175422992,-0.292693129231464,0.3183287167733457
0.5721243232724909,-0.2513080611720195,0.3384054547501762
0.71639531491094,-0.2923388364543195,0.36143723942998535
0.7548818370109842,-0.30310421640929225,0.320527301630388
0.7327170178619679,-0.29555340920148865,0.32501609996746894
0.725180801217735,-0.29391596759838917,0.33590778594255905
0.6706991692554273,-0.2817125552174248,0.31209627185515526
0.6510556481124018,-0.26657067523722205,0.32241470938055267
0.6584062108767385,-0.27951584603228047,0.3475097894221288
0.6423532424624177,-0.27170193114997127,0.3347004925032713
0.6598919430167351,-0.2724440639535491,0.3311160900945074
0.6524224371524183,-0.2696241970171723,0.33834575212763907
0.7424889520539854,-0.30351845839869135,0.3312692079172706
0.6979228143951036,-0.2755114349697988,0.32659631701326813
0.5764184987219904,-0.24974341450381438,0.3123485942339524
0.6100418993244858,-0.25036490159355973,0.3455872472807683
0.6965023233517331,-0.2841360353652342,0.3738589050835838
0.7073151077476935,-0.28060337440593314,0.3412749640507294
0.6424214834404421,-0.26716227894336153,0.3052404867901028
0.7190160723557241,-0.28809535003753806,0.3314949706936638
0.6085334541849589,-0.26142324734189487,0.33282988122851476
0.7649418010795765,-0.2965764302618557,0.3526126802753466
0.7629732894833677,-0.2942079265738573,0.3360854708676448
0.7466267428201051,-0.30709773406226193,0.3351077415582576
0.8645131501345173,-0.3261861542175283,0.35967667126571073
0.7223071096240784,-0.2914733643724801,0.3621166907879597
0.6714305402540343,-0.2758357411329006,0.35297265186604687
0.6992087755146649,-0.2852071931576765,0.3423899535558895
0.6144955643885152,-0.25319196177365716,0.3100742940970774
0.7837392805889001,-0.30155800797893884,0.3369409699198982
0.6282143277537364,-0.2735645830843748,0.3387516163208252
0.6357759303179192,-0.2669030539011097,0.32250057576765423
0.7508347827879751,-0.29321864944632564,0.3447025106322122
0.6658420727934142,-0.265760913365194,0.3371966177859385
0.6950610427278966,-0.2809889642941567,0.31896732358503965
0.7417034239657806,-0.2896604517945718,0.3308054962224216
0.6619625455721346,-0.27108134940212286,0.3249797011101434
0.7382226104517678,-0.2962307366224538,0.34829803248208535
0.7121791787938352,-0.28172882101271013,0.35384286208202537
0.7023112733967382,-0.2877036313146218,0.36169760128447265
0.6446788462258913,-0.2792856178531755,0.3455295161570121
0.6709086397132762,-0.2739095087571701,0.3314457648515242
0.6216801461989873,-0.26733983734813505,0.33336321026545096
0.693683412996742,-0.273537478452673,0.32795933787280473
0.7483980152671164,-0.29547010487647035,0.3358648555101118
0.74291504361503935,-0.293499740726068,0.3344853889164096
0.7906526976132605,-0.2984325668334547,0.3304980119757604
0.7610703589830143,-0.30393016000456474,0.3403675149260779
0.6196578079427655,-0.2641033103609944,0.33330948457695403
0.7165007375327146,-0.29396613356712875,0.34837001586574595
0.6341160328749413,-0.2628590108923932,0.33772924747597366
0.6599378693721151,-0.2791118486387634,0.32057640073986055
0.7787630329762446,-0.30283845838802603,0.3239076064395559
0.735812176218662,-0.28683373078407765,0.33506163285942897
0.6621463888667657,-0.2742220825642564,0.3448160991287417
0.6422467480768534,-0.27710061686836285,0.3644339012043602
0.7310411337666032,-0.2897766142538302,0.3517579909240938
0.6492200992789199,-0.2777201613414536,0.33032562887400724
0.6601408361611089,-0.27526968879253066,0.3435604552238702
0.6603858344851828,-0.2691061959716458,0.3486594269759567
0.643054507958224,-0.26603006045088534,0.32517723170536655
0.7621745417300532,-0.30026339105917776,0.3378190019642824
0.6823699452481111,-0.2863187495805308,0.307799784182117
0.6696970967291473,-0.2712360083075402,0.3653518153822084
0.6785021245582806,-0.2766050041544929,0.3619710622670044
0.7036264659577981,-0.28273289588933764,0.3709695205374237
0.6989645964370668,-0.2750993917365104,0.31789790697797743
0.7260225506239834,-0.29024976840908856,0.35501836653062185
0.7990075192169616,-0.3108030468084659,0.3131858779584502
0.6930874764254344,-0.28380743439298445,0.3227593043524183
0.6314958385083388,-0.2689044803359643,0.3485004685575418
0.6371094918824574,-0.2784966230978572,0.33766554652527137
0.7199890531918618,-0.29926806753558133,0.3531118335535991
0.6699700193129549,-0.2734741444679803,0.3513248912826285
0.7074431689661096,-0.285179667966821,0.3464649810970581
0.7512143368358726,-0.2953366055513131,0.3457915557527868
0.663574841160313,-0.27205250271690806,0.364052971298982
0.6081975398294996,-0.25636481319321197,0.33729744678998297
0.603816184599051,-0.2754999645904633,0.34856022459979036
0.6453121921227757,-0.2642578056658492,0.36617038160764503
0.665658059470484,-0.26672446713973624,0.32504093028017406
0.6778602249702201,-0.2788898334725253,0.3470596159127639
0.7612695275890018,-0.3015890624715001,0.3121874624702402
0.7420117679451914,-0.29480389800054285,0.32154424483406274
0.7051841888537614,-0.2846844871702177,0.3390419007223407
0.6571001715644936,-0.27322540028333964,0.3643340171854246
0.808663254977536,-0.3213477037023132,0.3435602521541418
0.6291533203424581,-0.27038642347794734,0.3135616396412256
0.6682370214512169,-0.27931394135178167,0.341846554446515
0.7075912034085644,-0.2728090601521435,0.348350615760325
0.6250621422554472,-0.26930130496174554,0.336451825278936
0.6727730023357981,-0.2689283269057947,0.3294665826047839
0.7209312644867233,-0.2788370319956697,0.3326252512138556
0.7300730695543943,-0.29095389877913963,0.3478472419478771
0.6241189901122985,-0.26386775864966155,0.3500946189513632
0.6849393902904308,-0.28238203020839603,0.33054965041960066
0.760677686589763,-0.29939407348494557,0.350374129784131
0.7204686629927093,-0.27919310870308617,0.35026133685432376
0.5667231638349642,-0.25072380184434495,0.344297478570775
0.6525343793338023,-0.27419347820409107,0.32994453751251307
0.7037050582852787,-0.27524285037333907,0.3416859704868544
0.7180631431527253,-0.2901239657965456,0.3171855090284623
0.7334527640630067,-0.3005098298585089,0.3481072180903652
0.6843183147866083,-0.2829260040665178,0.31968057697746666
0.6911343368049114,-0.28143396381735136,0.339964634383605
0.708748292016523,-0.28678300713437743,0.31720378448868425
0.6969124194140153,-0.28157567564225666,0.3369028915563647
0.7277031325570901,-0.2839452922276374,0.35192399333451724
0.6461518360380741,-0.2773885305257089,0.33150715777767104
0.714367205362252,-0.2947950038352215,0.34659069511488816
0.6837525635296632,-0.27651571932324226,0.32903824997945225
0.6257478714141531,-0.27138611742757,0.34030854044251846
0.6640576156644414,-0.2827109573495493,0.31452022492908566
0.6896565755250281,-0.2736828512432132,0.3148667742644321
0.6440601240494387,-0.2670654786480325,0.3360047127408722
0.7458722464259491,-0.29738358260142117,0.3345138433064591
0.8136060480656032,-0.30526398096866264,0.33321771783522425
0.688569553981068,-0.2702893449504637,0.3397309741161605
0.6355633161782207,-0.2597046293130678,0.3514406757910045
0.6659987829161431,-0.2732034936127145,0.35536730852370185
0.6559811977840273,-0.278849171905741,0.3101482941656234
0.6661367710426203,-0.27318915781091696,0.3256656014664797
0.665482703392711,-0.2740103966110277,0.3422481053497782
0.6160849018945693,-0.26297113720607973,0.3064401554803434
0.6441761551652045,-0.2674472075811862,0.3173098066721636
0.7031276698451298,-0.2757340067294077,0.34442971054650007
0.7661558329496997,-0.3009845244585797,0.3278695927788233
0.779307802319324,-0.3005057008520206,0.3624764793704307
0.7046816508314386,-0.2961859027196724,0.3362330253637858
0.6433300540131204,-0.2713879814623993,0.3246152950206115
0.6643741845371254,-0.2724811880315983,0.31151857523693244
0.6177132625750522,-0.27343098773013474,0.34480443199876404
0.8076947559691997,-0.30068522180388646,0.3327190587203605
0.6771237487996805,-0.2762933675612714,0.3395831719146934
0.7103700469148226,-0.2918270871716792,0.3505983490757065
0.6331218024474318,-0.26918127215611315,0.32981510244062234
0.6035277477600173,-0.25273644838904114,0.34683795895779324
0.5887716710174024,-0.2542705111210954,0.3740646324857356
0.6312698499853244,-0.2532524442748334,0.33245858447159526
