alpha,beta_logGenLength,beta_diet_VertFishScav,residual_sd
-0.06047037963913799,-0.6349261173208574,0.21062513424737092,0.2628674131507479
-0.18617218147197087,-0.4143002240765088,0.12966639605250174,0.2687206406257025
0.014103325130961198,-0.7450307639535019,0.3120358978254636,0.2847250253755863
-0.09239570668725591,-0.5411250233117971,0.1880707799003376,0.2597951043742288
-0.1114900048644541,-0.5442706263167082,0.15362064580140064,0.29501139264989706
-0.07861945612647336,-0.5771220845506386,0.2532446000629249,0.2797732669906413
-0.0689819143304233,-0.6195771925746694,0.19333491251386345,0.25195520123241033
-0.11690312749499475,-0.5884569796778102,0.23135077953801225,0.2707814386084767
-0.051958514512235196,-0.5908357121073322,0.17827489112264236,0.25773440502817757
-0.11211394346986346,-0.5304880649126951,0.23528511612978256,0.32674242185356056
-0.09011438887001548,-0.50419373965555625,0.17943761349273318,0.27694539173819205
-0.12141802579878327,-0.45945186997836096,0.15953297014339743,0.2662649912095888
-0.1424526782071136,-0.5049938357340381,0.15744239907264743,0.28329901821203324
-0.10497133640723633,-0.5860814429210838,0.3077837164964585,0.28528720300976557
-0.09259543550082434,-0.54211330000863,0.14021846020181786,0.2826711018983863
-0.04922688935638169,-0.6355524630120513,0.20191210238506554,0.2684325823856892
-0.14901381692959825,-0.4351802240336109,0.10154106278042441,0.2875940190101699
-0.0854519030764081,-0.5178936386255556,0.1758544577094104,0.2916233253070715
-0.05350368738892562,-0.6525026651490564,0.27336433171178753,0.30163468263344523
-0.0238833971475592,-0.677735193574,0.2718659099651038,0.27416351219090795
-0.1835423090750052,-0.4136925450803963,0.12609122413854884,0.28165098072259553
-0.08806058677774244,-0.553876460311783,0.20627899480757173,0.2611653122936371
-0.18071474553249772,-0.3926128485356378,0.22712076704431255,0.28745261939120764
-0.07153901860860822,-0.5822771503090814,0.2749197653521116,0.2745420116227593
-0.02549465855200453,-0.682925636022214,0.13424770843321837,0.2915011474270749
-0.12712009937131014,-0.4712731076143209,0.20885108882103207,0.2730308808455367
-0.09800237778129245,-0.5586077449088844,0.26864839643339766,0.28078417663748534
-0.004927705624231612,-0.724141627274322,0.24291843003015628,0.28342919390179566
-0.0899020202303463,-0.6179483562060057,0.2919742309061857,0.2598683535074876
-0.10634623525324696,-0.4901152627819178,0.1113122737604024,0.30064513448933594
-0.09594927405415905,-0.5333435832289269,0.20859006125516316,0.28225075444035147
-0.055153910905434644,-0.621027229976917,0.2719194992472237,0.269751661761596
-0.1083129274204328,-0.5209723866154884,0.1653719539642257,0.2800565630412809
-0.0704789207654435,-0.6169366137422071,0.2035622938946465,0.29099510407803847
-0.12140571382393019,-0.549854790850988,0.2410107725661137,0.2748566260439432
-0.14737862306576494,-0.37387396674048856,0.11285373191929168,0.2828110857762508
-0.07747443995239353,-0.5790042058324797,0.129528910412604,0.30194193302410133
-0.05016834920588306,-0.681906545683667,0.21690236124189358,0.2832249857110577
-0.10496704701713927,-0.48908269051021847,0.16208963179706576,0.2700320221732109
-0.18418865727887504,-0.3972181354496108,0.18342094867429742,0.306385889301751
-0.19415485210846303,-0.4108090936714298,0.19438270740407587,0.25206872979693257
-0.09259175844662276,-0.5171944095948406,0.1624938260963143,0.2586723514727095
-0.15876652678564845,-0.48822729001801907,0.23656944382794615,0.2915249810010385
-0.10534241386638668,-0.5610168223272267,0.21688657388343233,0.2898981765287833
-0.016106876743116397,-0.6668100127163124,0.16578093598218607,0.2969571005304812
-0.1158340245257061,-0.5346803289765472,0.2768305991800714,0.27649141645559183
-0.20057837074253823,-0.42110724565070784,0.15807645533757517,0.28116370316254674
-0.06565962347033308,-0.5340317747073136,0.17518600767139883,0.26750680613833544
-0.08586260486801933,-0.6170874894799897,0.19442694003137395,0.28381530612861156
-0.15413544944531885,-0.4974412628893048,0.2009653563671603,0.27732618552430927
-0.18733166498759313,-0.4563438740878244,0.23591190402493775,0.29930752536783595
-0.02365732468391138,-0.6789658593574628,0.12033730661523621,0.2857730268404778
-0.00993101641672783,-0.6728208811966248,0.2553711562421493,0.2794090030497461
-0.042727139555335115,-0.5960287369589768,0.182781135803406,0.2834925192921241
-0.12626697032012105,-0.5114538191635583,0.2421840981487859,0.29509509834507086
-0.10202005034996592,-0.5496049883734921,0.19367876797602154,0.26371129055377696
-0.13971264978542458,-0.4928647226634015,0.14379206717365933,0.2753745799039966
-0.12622385101808153,-0.5275266693388863,0.22391894561033737,0.2540714705918354
-0.060057875037824865,-0.6585323435467628,0.2719133902126805,0.2840525459736472
-0.0733387834442858,-0.6092133970062314,0.1707046077298205,0.27296971650243484
-0.06184917416971046,-0.6069530333381253,0.22414902502759254,0.2726630922214405
-0.08641982293042363,-0.6108856580137718,0.2930600006192563,0.26033872974367367
-0.16161654154927219,-0.44140563366771957,0.11455804042430148,0.2662306152387329
-0.07923716483343973,-0.6180364215770034,0.28648278913495173,0.29287678551049456
-0.01865866410944369,-0.6521582611349024,0.275893667983721,0.2671703344757786
-0.06296683463415735,-0.6208445833367634,0.1989140520555253,0.28084393178688
-0.08497148902049588,-0.5795757404113399,0.22745594212819115,0.26896317929012925
-0.031970619495887136,-0.6829129628109896,0.19842039614283982,0.3049719665738725
