scientificName,className,orderName,familyName,genusName,speciesName,redlistCategory,raster_stem,name_raster,match_raster,sdm_method,raster_dir,raster_file,raster_path,name_trait,match_trait,BodyMass.Value,GenLength,bird_genlength_scientific,genlength_match_source,Diet,diet5_group,bird_sigma_model_group,density,home_range_size,dispersal_dist,min_patch_size,min_pop_size,alpha_q50,beta_q50,alpha_q16,beta_q16,alpha_q025,beta_q025,alpha_q84,beta_q84,alpha_q975,beta_q975,habitat_codes_suitable,habitats_level1,habitats_mixed
Eliurus majori,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,majori,Least Concern,eliurus_majori_bin,Eliurus majori,original,PPM,mammal_ppm_bin/Eliurus_majori_bin.tif,Eliurus majori,original,100,NA,NA,NA,herbivore,NA,NA,146.87902795263258,0.0054,0.4115142767875739,0.0680832392438281,3.4041619621914054,271110367305.28265,2.9143625269886266,26879167763.457645,2.572347000834812,2669016568.038101,2.2458470731545526,2291364625864.008,3.243561384975474,23788797616588.297,3.620376491911471,1.9,Forest,Forest
Eliurus grandidieri,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,grandidieri,Least Concern,eliurus_grandidieri_bin,Eliurus grandidieri,original,RangeBag,mammal_rangebag_bin/Eliurus_grandidieri_bin.tif,Eliurus grandidieri,original,77.7,NA,NA,NA,herbivore,NA,NA,159.61827476576298,0.0041958,0.3627399729834031,0.06264946801783709,3.1324734008918544,278781787726.13403,2.8950003811378924,24911394544.374756,2.541881081479696,2271535867.411327,2.2060639277366163,2510878189418.6484,3.232056428812473,28348801358159.258,3.619668722815757,"1.6, 1.9",Forest,Forest
Eliurus antsingy,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,antsingy,Data Deficient,eliurus_antsingy_bin,Eliurus antsingy,original,RangeBag,mammal_rangebag_bin/Eliurus_antsingy_bin.tif,Eliurus antsingy,original,77.7,NA,NA,NA,herbivore,NA,NA,159.61827476576298,0.0041958,0.3627399729834031,0.06264946801783709,3.1324734008918544,278781787726.13403,2.8950003811378924,24911394544.374756,2.541881081479696,2271535867.411327,2.2060639277366163,2510878189418.6484,3.232056428812473,28348801358159.258,3.619668722815757,1.5,Forest,Forest
Eliurus myoxinus,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,myoxinus,Least Concern,eliurus_myoxinus_bin,Eliurus myoxinus,original,PPM,mammal_ppm_bin/Eliurus_myoxinus_bin.tif,Eliurus myoxinus,original,70,NA,NA,NA,herbivore,NA,NA,165.20507274702595,0.0037800000000000004,0.3442975457362425,0.06053082894925829,3.0265414474629146,278703145238.89874,2.885069035328853,24090184992.23137,2.5285656426904564,2132139853.7031157,2.189665472068148,2561838762099.329,3.2245817791749865,29723371499945.797,3.6156101911002985,"1.5, 1.6",Forest,Forest
Eliurus tanala,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,tanala,Least Concern,eliurus_tanala_bin,Eliurus tanala,original,PPM,mammal_ppm_bin/Eliurus_tanala_bin.tif,Eliurus tanala,original,90,NA,NA,NA,herbivore,NA,NA,152.0700865267968,0.00486,0.3903967212977076,0.06575915243027013,3.2879576215135065,275257726603.57086,2.9068829011704613,26057035561.537518,2.559865216802002,2492815006.341164,2.2292340048071497,2393372361019.306,3.2396058270200605,25789369274947.78,3.6212365796739094,"1.6, 1.9",Forest,Forest
Eliurus webbi,MAMMALIA,RODENTIA,NESOMYIDAE,Eliurus,webbi,Least Concern,eliurus_webbi_bin,Eliurus webbi,original,PPM,mammal_ppm_bin/Eliurus_webbi_bin.tif,Eliurus webbi,original,75,NA,NA,NA,herbivore,NA,NA,161.4901252745226,0.00405,0.3563818177180199,0.06192329086995665,3.0961645434978324,279041127382.3411,2.891795563139028,24634154308.35585,2.5374255738238607,2222636633.7060018,2.2004988159280603,2531902692560.7573,3.2297518091505792,28870373066814.973,3.618614033624207,"1.6, 1.9",Forest,Forest
Cryptoprocta ferox,MAMMALIA,CARNIVORA,EUPLERIDAE,Cryptoprocta,ferox,Vulnerable,cryptoprocta_ferox_bin,Cryptoprocta ferox,original,PPM,mammal_ppm_bin/Cryptoprocta_ferox_bin.tif,Cryptoprocta ferox,original,9500,NA,NA,NA,carnivore,NA,NA,0.12315652412148674,4.837391872478359,12.316680117666502,81.19748483755178,4059.874241877589,217630624739.63144,3.1966599570081478,54584736915.81121,2.9622052940234123,11642454845.968122,2.7079747425419796,946426957424.4188,3.456786778090433,4930014213078.85,3.750048891774061,"1.5, 1.6, 1.9",Forest,Forest
Fossa fossana,MAMMALIA,CARNIVORA,EUPLERIDAE,Fossa,fossana,Vulnerable,fossa_fossana_bin,Fossa fossana,original,PPM,mammal_ppm_bin/Fossa_fossana_bin.tif,Fossa fossana,original,1500,NA,NA,NA,carnivore,NA,NA,0.2834383468760153,0.6008509045955865,4.340816094712789,35.281041221900395,1764.0520610950198,234280352981.01663,3.0930824036344426,53529394770.51487,2.852666148013922,12639776030.438847,2.623978702971745,1064708228333.0413,3.347025062277551,5816776176214.616,3.637050233839178,"1.5, 1.6, 1.9",Forest,Forest
Galidictis fasciata,MAMMALIA,CARNIVORA,EUPLERIDAE,Galidictis,fasciata,Vulnerable,galidictis_fasciata_bin,Galidictis fasciata,original,RangeBag,mammal_rangebag_bin/Galidictis_fasciata_bin.tif,Galidictis fasciata,original,550,NA,NA,NA,carnivore,NA,NA,0.3945453896955047,0.19337193173806377,2.462548228828357,25.345626285780767,1267.2813142890384,236047989159.78378,3.029218779236618,44517328853.13875,2.763283155154029,8006864448.991887,2.5047413217638606,1244570463808.1238,3.3000427133669334,7493013702603.761,3.6047694381673576,1.6,Forest,Forest
Mungotictis decemlineata,MAMMALIA,CARNIVORA,EUPLERIDAE,Mungotictis,decemlineata,Endangered,mungotictis_decemlineata_bin,Mungotictis decemlineata,original,RangeBag,mammal_rangebag_bin/Mungotictis_decemlineata_bin.tif,Mungotictis decemlineata,original,650,NA,NA,NA,carnivore,NA,NA,0.37340538062766565,0.23354775106161832,2.706299590454159,26.780546073521414,1339.0273036760707,236070849573.9327,3.0402975352464847,46344723183.00912,2.7796983738798557,8835036560.573153,2.527710072469058,1205478196004.5208,3.3072159027915986,7078608339525.571,3.60815071653201,"1.5, 3.5","Forest, Shrubland","Forest, Shrubland"
