"number" "dsum" "count" "missing" "quant_error" "fname"
49 505380. 505380 12654378 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eliurus_majori.tif"
50 825536. 825536 12334222 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eliurus_minor.tif"
51 998628. 998628 12161130 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eliurus_myoxinus.tif"
52 542149. 542149 12617609 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eliurus_tanala.tif"
53 711727. 711727 12448031 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eliurus_webbi.tif"
54 46400.0 46400 13113358 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eremopterix_hova.tif"
55 230639. 230639 12929119 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_albifrons.tif"
56 79361.0 79361 13080397 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_collaris.tif"
57 338616. 338616 12821142 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_coronatus.tif"
58 272.0 272 13159486 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_flavifrons.tif"
59 1.1618e+06 1161803 11997955 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_fulvus.tif"
60 437532. 437532 12722226 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_macaco.tif"
61 24810.0 24810 13134948 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_mongoz.tif"
62 944632. 944632 12215126 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_rubriventer.tif"
63 1.02538e+06 1025376 12134382 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_rufifrons.tif"
64 589938. 589938 12569820 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_rufus.tif"
65 72379.0 72379 13087379 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Eulemur_sanfordi.tif"
66 31004.0 31004 13128754 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Euryceros_prevostii.tif"
67 735453. 735453 12424305 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Falco_zoniventris.tif"
68 350193. 350193 12809565 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Falculea_palliata.tif"
69 538099. 538099 12621659 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Fossa_fossana.tif"
70 1.69167e+06 1691667 11468091 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Foudia_madagascariensis.tif"
71 573568. 573568 12586190 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Foudia_omissa.tif"
72 545046. 545046 12614712 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Gactornis_enarratus.tif"
73 552688. 552688 12607070 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Galidia_elegans.tif"
74 46480.0 46480 13113278 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Galidictis_fasciata.tif"
75 120950. 120950 13038808 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Geobiastes_squamiger.tif"
76 364722. 364722 12795036 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Geogale_aurita.tif"
77 296276. 296276 12863482 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Gymnuromys_roberti.tif"
78 56404.0 56404 13103354 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Haliaeetus_vociferoides.tif"
79 20298.0 20298 13139460 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hapalemur_aureus.tif"
80 1.07086e+06 1070860 12088898 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hapalemur_griseus.tif"
