stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2129706,0,191105.155156776,0,0,0,0,0,0,0,0
1,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,51,2079263,50443,186576.385588566,4528.76956821049,50443,4528.76956821049,51,0.0236854288807939,0.0236977886048926,2.36854288807939,2.36977886048926
2,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,101,2028876,100830,182030.760880016,9074.39427676056,50387,4545.62470855007,50,0.047344563052365,0.0474837754602497,4.7344563052365,4.74837754602497
3,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,153,1978753,150953,177532.286204161,13572.868952615,50123,4498.47467585442,52,0.0708797364518859,0.0710230393391546,7.08797364518859,7.10230393391546
4,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,205,1928052,201654,172974.831269266,18130.3238875103,50701,4557.45493489534,52,0.0946863088144561,0.0948709304709064,9.46863088144561,9.48709304709064
5,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,257,1877758,251948,168469.611971152,22635.5431856242,50294,4505.21929811391,52,0.118301774986782,0.118445487077807,11.8301774986782,11.8445487077807
6,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,308,1827671,302035,163935.27887878,27169.8762779968,50087,4534.33309237254,51,0.14182004464466,0.142172388053622,14.182004464466,14.2172388053622
7,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,359,1777644,352062,159388.673552166,31716.481604611,50027,4546.60532661418,51,0.165310141399799,0.165963506209928,16.5310141399799,16.5963506209928
8,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,411,1727590,402116,154896.814488937,36208.3406678393,50054,4491.85906322834,52,0.18881291596117,0.189468152432283,18.881291596117,18.9468152432283
9,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q975/Run/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,463,1677559,452147,150413.811758478,40691.3433982987,50031,4483.00273045944,52,0.212304890909825,0.212926455934257,21.2304890909825,21.2926455934257
