removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1000,88.7722928439904,1000,88.7722928439904,0.000469548378978131,0.00046452066021539,2128706,191016.382863932
2,1,prune,2,1000,88.8531742612156,2000,177.625467105206,0.000939096757956263,0.000929464550338727,2127706,190927.529689671
3,1,prune,3,1000,87.9694488297475,3000,265.594915934953,0.00140864513693439,0.00138978415164713,2126706,190839.560240842
4,1,prune,4,1000,89.6515123344178,4000,355.246428269371,0.00187819351591253,0.00185890552234417,2125706,190749.908728507
5,1,prune,5,1000,89.0593728803195,5000,444.305801149691,0.00234774189489066,0.00232492839235654,2124706,190660.849355627
6,1,prune,6,1003,91.3769611941045,6003,535.682762343795,0.00281869891900572,0.00280307855590991,2123703,190569.472394433
7,1,prune,7,1004,89.6835194808602,7007,625.366281824656,0.00329012549149977,0.00327236741108122,2122699,190479.788874952
8,1,prune,8,1006,91.8607283542489,8013,717.227010178905,0.00376249116075177,0.0037530489933174,2121693,190387.928146598
9,1,prune,9,1338,121.515968110015,9351,838.742978288919,0.00439074689182451,0.0043889081778084,2120355,190266.412178488
10,1,prune,10,1002,88.95971562971,10353,927.702693918629,0.00486123436756059,0.00485440956921111,2119353,190177.452462858
11,1,prune,11,1005,88.9458531133351,11358,1016.64854703196,0.00533313048843362,0.00531983842193027,2118348,190088.506609745
12,1,prune,12,1003,88.7720261264494,12361,1105.42057315841,0.00580408751254868,0.00578435768648712,2117345,189999.734583618
13,1,prune,13,1003,88.0657362042638,13364,1193.48630936268,0.00627504453666375,0.00624518113278305,2116342,189911.668847414
14,1,prune,14,1006,89.558534967937,14370,1283.04484433061,0.00674741020591575,0.00671381597884184,2115336,189822.110312446
15,1,prune,15,1005,90.270286197688,15375,1373.3151305283,0.00721930632678877,0.00718617522066152,2114331,189731.840026248
16,1,prune,16,1000,91.5920569627361,16375,1464.90718749104,0.0076888547057669,0.00766545092040702,2113331,189640.247969285
17,1,prune,17,1004,91.981117748771,17379,1556.88830523981,0.00816028127826094,0.00814676246678217,2112327,189548.266851537
18,1,prune,18,1001,91.1555761897539,18380,1648.04388142956,0.00863029920561805,0.00862375418432623,2111326,189457.111275347
19,1,prune,19,1002,90.5195907979404,19382,1738.5634722275,0.00910078668135414,0.00909741796761706,2110324,189366.591684549
20,1,prune,20,1000,89.1019383523542,20382,1827.66541057986,0.00957033506033227,0.00956366357087804,2109324,189277.489746197
21,1,prune,21,1002,87.7593116065452,21384,1915.4247221864,0.0100408225360684,0.0100228835826802,2108322,189189.73043459
22,1,prune,22,1006,87.0371498623561,22390,2002.46187204876,0.0105131882053204,0.0104783247234017,2107316,189102.693284728
23,1,prune,23,1004,87.0350744246164,23394,2089.49694647338,0.0109846147778144,0.010933755003936,2106312,189015.658210303
24,1,prune,24,1001,88.9591457283192,24395,2178.4560922017,0.0114546327051715,0.0113992534132036,2105311,188926.699064575
25,1,prune,25,1006,92.2828912624525,25401,2270.73898346415,0.0119269983744235,0.0118821440562465,2104305,188834.416173312
26,1,prune,26,1006,90.9466834820111,26407,2361.68566694616,0.0123993640436755,0.0123580426964867,2103299,188743.46948983
27,1,prune,27,1006,89.1464416146648,27413,2450.83210856082,0.0128717297129275,0.0128245211729126,2102293,188654.323048216
28,1,prune,28,1000,92.2757714124818,28413,2543.10787997331,0.0133412780919056,0.0133073745597654,2101293,188562.047276803
29,1,prune,29,1000,91.8556426339641,29413,2634.96352260727,0.0138108264708838,0.0137880295298451,2100293,188470.191634169
30,1,prune,30,1000,91.6001963280621,30413,2726.56371893533,0.0142803748498619,0.0142673478206203,2099293,188378.591437841
31,1,prune,31,1000,91.3317631094124,31413,2817.89548204474,0.01474992322884,0.0147452614751969,2098293,188287.259674732
32,1,prune,32,1000,91.1086779459977,32413,2909.00415999074,0.0152194716078182,0.0152220077873058,2097293,188196.150996786
33,1,prune,33,1000,90.8568455058052,33413,2999.86100549655,0.0156890199867963,0.0156974363304619,2096293,188105.29415128
34,1,prune,34,1000,90.6675041754903,34413,3090.52850967204,0.0161585683657744,0.0161718741032217,2095293,188014.626647104
35,1,prune,35,1000,90.4721213461975,35413,3181.00063101824,0.0166281167447526,0.0166452894921053,2094293,187924.154525758
36,1,prune,36,1000,90.2980437716808,36413,3271.29867478992,0.0170976651237307,0.0171177939815713,2093293,187833.856481987
37,1,prune,37,1000,90.0839678007814,37413,3361.3826425907,0.0175672135027088,0.0175891782711624,2092293,187743.772514186
38,1,prune,38,1000,89.8206064667512,38413,3451.20324905745,0.018036761881687,0.0180591844643133,2091293,187653.951907719
39,1,prune,39,1000,89.5347004652298,39413,3540.73794952268,0.0185063102606651,0.0185276945910641,2090293,187564.417207254
40,1,prune,40,1000,89.2375870486089,40413,3629.97553657129,0.0189758586396432,0.018994650006136,2089293,187475.179620205
41,1,prune,41,1000,88.8605758903103,41413,3718.8361124616,0.0194454070186213,0.0194596326269209,2088293,187386.319044315
42,1,prune,42,1000,88.3180192672352,42413,3807.15413172883,0.0199149553975995,0.0199217762001531,2087293,187298.001025048
