stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2129706,0,191105.155156776,0,0,0,0,0,0,0,0
1,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,51,2079285,50421,186577.210937639,4527.94421913794,50421,4527.94421913794,51,0.0236750988164564,0.0236934697832895,2.36750988164564,2.36934697832895
2,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,101,2028913,100793,182035.4384599,9069.71669687661,50372,4541.77247773867,50,0.0473271897623428,0.0474592989887484,4.73271897623428,4.74592989887484
3,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,152,1978797,150909,177536.101376564,13569.053780212,50116,4499.33708333541,51,0.0708590763232108,0.0710030756055765,7.08590763232108,7.10030756055765
4,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,203,1928124,201582,172979.033796351,18126.1213604256,50673,4557.0675802136,51,0.0946525013311697,0.0948489398182668,9.46525013311697,9.48489398182668
5,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,255,1877829,251877,168476.97559193,22628.1795648462,50295,4502.05820442059,52,0.118268437051875,0.11840695530313,11.8268437051875,11.840695530313
6,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,307,1827739,301967,163935.179353511,27169.9758032655,50090,4541.79623841932,52,0.141788115354889,0.142172908841607,14.1788115354889,14.2172908841607
7,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,359,1777711,351995,159409.828796679,31695.3263600971,50028,4525.3505568316,52,0.165278681658407,0.165852806713117,16.5278681658407,16.5852806713117
8,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,411,1727668,402038,154903.237617758,36201.9175390181,50043,4506.59117892097,52,0.18877629118761,0.189434541989824,18.877629118761,18.9434541989824
9,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q84/Run/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,463,1677635,452071,150423.976007359,40681.1791494174,50033,4479.26161039929,52,0.212269205233023,0.212873269253484,21.2269205233023,21.2873269253484
