[2026-08-18T03:53:41.274Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eliurus tanala" taxon=mammalia sdm=PPM status=retained scientific_seconds=27.497000 clump_seconds=2.142243 polygon_seconds=1.883055 distance_seconds=5.650938 other_scientific_seconds=17.820764 checkpoint_seconds=0.604000 cleanup_gc_seconds=0.369000 orchestration_seconds=0.001000 total_seconds=28.471000
[2026-08-18T03:54:15.665Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Eliurus webbi" taxon=mammalia sdm=PPM status=retained scientific_seconds=33.350000 clump_seconds=2.041096 polygon_seconds=2.264361 distance_seconds=7.454075 other_scientific_seconds=21.590468 checkpoint_seconds=0.676000 cleanup_gc_seconds=0.358000 orchestration_seconds=0.002000 total_seconds=34.386000
[2026-08-18T03:54:30.233Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Cryptoprocta ferox" taxon=mammalia sdm=PPM status=retained scientific_seconds=13.796000 clump_seconds=2.577638 polygon_seconds=1.107975 distance_seconds=0.486078 other_scientific_seconds=9.624309 checkpoint_seconds=0.248000 cleanup_gc_seconds=0.521000 orchestration_seconds=0.000000 total_seconds=14.565000
[2026-08-18T03:54:43.610Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Fossa fossana" taxon=mammalia sdm=PPM status=retained scientific_seconds=12.654000 clump_seconds=2.186799 polygon_seconds=1.110307 distance_seconds=0.550699 other_scientific_seconds=8.806196 checkpoint_seconds=0.253000 cleanup_gc_seconds=0.465000 orchestration_seconds=0.000000 total_seconds=13.372000
[2026-08-18T03:54:57.111Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Galidictis fasciata" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=12.794000 clump_seconds=2.406400 polygon_seconds=0.987464 distance_seconds=0.163247 other_scientific_seconds=9.236889 checkpoint_seconds=0.242000 cleanup_gc_seconds=0.462000 orchestration_seconds=0.000000 total_seconds=13.498000
[2026-08-18T03:56:00.040Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Mungotictis decemlineata" taxon=mammalia sdm=RangeBag status=skipped_no_pus_above_min_pop scientific_seconds=60.856000 clump_seconds=0.000000 polygon_seconds=0.000000 distance_seconds=0.000000 other_scientific_seconds=60.856000 checkpoint_seconds=0.002000 cleanup_gc_seconds=2.069000 orchestration_seconds=0.001000 total_seconds=62.928000
[2026-08-18T03:56:15.522Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Galidia elegans" taxon=mammalia sdm=PPM status=retained scientific_seconds=14.563000 clump_seconds=2.567756 polygon_seconds=1.148164 distance_seconds=0.643243 other_scientific_seconds=10.203837 checkpoint_seconds=0.252000 cleanup_gc_seconds=0.662000 orchestration_seconds=0.000000 total_seconds=15.477000
[2026-08-18T03:57:38.646Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Echinops telfairi" taxon=mammalia sdm=PPM status=retained scientific_seconds=80.313000 clump_seconds=2.649462 polygon_seconds=2.025908 distance_seconds=6.823962 other_scientific_seconds=68.813667 checkpoint_seconds=0.772000 cleanup_gc_seconds=2.035000 orchestration_seconds=0.000000 total_seconds=83.120000
[2026-08-18T03:58:03.287Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Geogale aurita" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=23.148000 clump_seconds=2.532418 polygon_seconds=1.705105 distance_seconds=4.273782 other_scientific_seconds=14.636695 checkpoint_seconds=0.584000 cleanup_gc_seconds=0.905000 orchestration_seconds=0.000000 total_seconds=24.637000
[2026-08-18T03:59:03.598Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Hemicentetes nigriceps" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=57.758000 clump_seconds=1.782845 polygon_seconds=0.980250 distance_seconds=0.253464 other_scientific_seconds=54.741442 checkpoint_seconds=0.276000 cleanup_gc_seconds=2.270000 orchestration_seconds=0.001000 total_seconds=60.305000
[2026-08-18T04:00:26.058Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Hemicentetes semispinosus" taxon=mammalia sdm=PPM status=retained scientific_seconds=79.750000 clump_seconds=2.872905 polygon_seconds=1.935450 distance_seconds=6.696454 other_scientific_seconds=68.245191 checkpoint_seconds=0.799000 cleanup_gc_seconds=1.906000 orchestration_seconds=0.001000 total_seconds=82.456000
[2026-08-18T04:01:22.968Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale mergulus" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=54.460000 clump_seconds=1.752513 polygon_seconds=1.019659 distance_seconds=0.590068 other_scientific_seconds=51.097760 checkpoint_seconds=0.304000 cleanup_gc_seconds=2.142000 orchestration_seconds=0.001000 total_seconds=56.907000
[2026-08-18T04:02:37.147Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale brevicaudata" taxon=mammalia sdm=PPM status=retained scientific_seconds=71.517000 clump_seconds=2.865348 polygon_seconds=2.263156 distance_seconds=6.457322 other_scientific_seconds=59.931174 checkpoint_seconds=0.620000 cleanup_gc_seconds=2.036000 orchestration_seconds=0.001000 total_seconds=74.174000
[2026-08-18T04:04:00.179Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale cowani" taxon=mammalia sdm=PPM status=retained scientific_seconds=80.112000 clump_seconds=2.188596 polygon_seconds=2.535053 distance_seconds=8.729558 other_scientific_seconds=66.658793 checkpoint_seconds=0.977000 cleanup_gc_seconds=1.939000 orchestration_seconds=0.000000 total_seconds=83.028000
[2026-08-18T04:05:17.964Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Nesogale dobsoni" taxon=mammalia sdm=PPM status=retained scientific_seconds=76.753000 clump_seconds=3.478338 polygon_seconds=2.044070 distance_seconds=6.908444 other_scientific_seconds=64.322148 checkpoint_seconds=0.509000 cleanup_gc_seconds=0.516000 orchestration_seconds=0.001000 total_seconds=77.779000
[2026-08-18T04:05:35.591Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale drouhardi" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=16.685000 clump_seconds=2.073583 polygon_seconds=1.286340 distance_seconds=2.431352 other_scientific_seconds=10.893726 checkpoint_seconds=0.387000 cleanup_gc_seconds=0.551000 orchestration_seconds=0.000000 total_seconds=17.623000
[2026-08-18T04:05:47.744Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale dryas" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=11.357000 clump_seconds=1.770568 polygon_seconds=0.960180 distance_seconds=0.106865 other_scientific_seconds=8.519387 checkpoint_seconds=0.256000 cleanup_gc_seconds=0.535000 orchestration_seconds=0.000000 total_seconds=12.148000
[2026-08-18T04:06:07.428Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale fotsifotsy" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=18.719000 clump_seconds=2.245196 polygon_seconds=1.402976 distance_seconds=3.107103 other_scientific_seconds=11.963725 checkpoint_seconds=0.646000 cleanup_gc_seconds=0.315000 orchestration_seconds=0.001000 total_seconds=19.681000
[2026-08-18T04:06:20.603Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale gracilis" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=12.369000 clump_seconds=1.774423 polygon_seconds=1.042595 distance_seconds=0.789985 other_scientific_seconds=8.761997 checkpoint_seconds=0.304000 cleanup_gc_seconds=0.496000 orchestration_seconds=0.001000 total_seconds=13.170000
[2026-08-18T04:06:35.809Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale gymnorhyncha" taxon=mammalia sdm=PPM status=retained scientific_seconds=14.289000 clump_seconds=1.852405 polygon_seconds=1.173994 distance_seconds=1.628268 other_scientific_seconds=9.634332 checkpoint_seconds=0.380000 cleanup_gc_seconds=0.534000 orchestration_seconds=0.000000 total_seconds=15.203000
[2026-08-18T04:07:16.143Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale longicaudata" taxon=mammalia sdm=PPM status=retained scientific_seconds=39.280000 clump_seconds=2.398874 polygon_seconds=2.785714 distance_seconds=9.283212 other_scientific_seconds=24.812200 checkpoint_seconds=0.692000 cleanup_gc_seconds=0.357000 orchestration_seconds=0.001000 total_seconds=40.330000
[2026-08-18T04:07:29.585Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale majori" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=12.653000 clump_seconds=1.970396 polygon_seconds=1.021969 distance_seconds=0.558291 other_scientific_seconds=9.102344 checkpoint_seconds=0.277000 cleanup_gc_seconds=0.508000 orchestration_seconds=0.000000 total_seconds=13.438000
[2026-08-18T04:08:06.771Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale parvula" taxon=mammalia sdm=PPM status=retained scientific_seconds=36.032000 clump_seconds=2.457216 polygon_seconds=2.479766 distance_seconds=8.213686 other_scientific_seconds=22.881332 checkpoint_seconds=0.744000 cleanup_gc_seconds=0.406000 orchestration_seconds=0.000000 total_seconds=37.182000
[2026-08-18T04:08:33.480Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale principula" taxon=mammalia sdm=PPM status=retained scientific_seconds=25.800000 clump_seconds=2.204520 polygon_seconds=1.879481 distance_seconds=5.758472 other_scientific_seconds=15.957526 checkpoint_seconds=0.499000 cleanup_gc_seconds=0.404000 orchestration_seconds=0.001000 total_seconds=26.704000
[2026-08-18T04:09:40.496Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale pusilla" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=64.303000 clump_seconds=2.128031 polygon_seconds=1.241410 distance_seconds=1.957390 other_scientific_seconds=58.976169 checkpoint_seconds=0.913000 cleanup_gc_seconds=1.797000 orchestration_seconds=0.001000 total_seconds=67.014000
