[2026-08-18T06:39:21.095Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=29/188 species="Cheirogaleus medius" occupied_cells=708287 patches=23909 elapsed_seconds=1.42
[2026-08-18T06:39:22.267Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=30/188 species="Cinnyris notatus" occupied_cells=1211432 patches=54682 elapsed_seconds=1.17
[2026-08-18T06:39:23.378Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=31/188 species="Copsychus albospecularis" occupied_cells=644378 patches=9464 elapsed_seconds=1.11
[2026-08-18T06:39:24.533Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=32/188 species="Coracopsis nigra" occupied_cells=1250525 patches=7055 elapsed_seconds=1.16
[2026-08-18T06:39:25.705Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=33/188 species="Corythornis madagascariensis" occupied_cells=1010958 patches=4477 elapsed_seconds=1.17
[2026-08-18T06:39:26.778Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=34/188 species="Coua caerulea" occupied_cells=476130 patches=846 elapsed_seconds=1.07
[2026-08-18T06:39:27.919Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=35/188 species="Coua coquereli" occupied_cells=344511 patches=2313 elapsed_seconds=1.14
[2026-08-18T06:39:29.000Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=36/188 species="Coua cristata" occupied_cells=915440 patches=4229 elapsed_seconds=1.08
[2026-08-18T06:39:30.114Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=37/188 species="Coua cursor" occupied_cells=210187 patches=379 elapsed_seconds=1.11
[2026-08-18T06:39:31.222Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=38/188 species="Coua gigas" occupied_cells=353009 patches=976 elapsed_seconds=1.11
[2026-08-18T06:39:32.654Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=39/188 species="Coua reynaudii" occupied_cells=409137 patches=771 elapsed_seconds=1.43
[2026-08-18T06:39:33.742Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=40/188 species="Coua ruficeps" occupied_cells=14000 patches=34 elapsed_seconds=1.09
