removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1000,88.9600327792896,1000,88.9600327792896,0.000469548378978131,0.000465503050958043,2128706,191016.195123997
2,1,prune,2,1004,90.804809851739,2004,179.764842631029,0.000940974951472175,0.000940659306043081,2127702,190925.390314145
3,1,prune,3,1340,120.849283309946,3344,300.614125940974,0.00157016977930287,0.00157302991483595,2126362,190804.541030835
4,1,prune,4,1000,89.1328503510009,4344,389.746976291975,0.002039718158281,0.00203943727196809,2125362,190715.408180485
5,1,prune,5,1000,89.5044714313788,5344,479.251447723354,0.00250926653725913,0.00250778921861209,2124362,190625.903709053
6,1,prune,6,1004,89.4113291153033,6348,568.662776838657,0.00298069310975318,0.00297565377748259,2123358,190536.492379938
7,1,prune,7,1009,92.0198489781335,7357,660.682625816791,0.00345446742414211,0.00345716799358337,2122349,190444.47253096
8,1,prune,8,1304,117.906468892003,8661,778.589094708794,0.00406675851032959,0.0040741396749348,2121045,190326.566062068
9,1,prune,9,1005,88.4697630614995,9666,867.058857770293,0.00453865463120262,0.00453707728113868,2120040,190238.096299006
10,1,prune,10,1004,88.2236285503748,10670,955.282486320668,0.00501008120369666,0.00499872693406405,2119036,190149.872670456
11,1,prune,11,1003,89.7647413258659,11673,1045.04722764653,0.00548103822781173,0.00546844080050698,2118033,190060.10792913
12,1,prune,12,1004,90.551206626045,12677,1135.59843427258,0.00595246480030577,0.00594227002061232,2117029,189969.556722504
13,1,prune,13,1007,90.6152455800105,13684,1226.21367985259,0.00642530001793675,0.00641643433871077,2116022,189878.941476924
14,1,prune,14,1003,89.8431320125818,14687,1316.05681186517,0.00689625704205181,0.00688655840176327,2115019,189789.098344911
15,1,prune,15,1001,88.5077949066438,15688,1404.56460677182,0.00736627496940892,0.00734969501801014,2114018,189700.590550005
16,1,prune,16,1010,92.1565404335393,16698,1496.72114720535,0.00784051883217684,0.00783192450238976,2113008,189608.434009571
17,1,prune,17,1005,92.3204388379343,17703,1589.04158604329,0.00831241495304986,0.00831501162142743,2112003,189516.113570733
18,1,prune,18,1006,91.2769791128342,18709,1680.31856515612,0.00878478062230186,0.00879263860662285,2110997,189424.83659162
19,1,prune,19,1002,89.9452883146783,19711,1770.2638534708,0.00925526809803794,0.00926329722512474,2109995,189334.891303306
20,1,prune,20,1006,91.2392710185382,20717,1861.50312448934,0.00972763376728994,0.0097407268943751,2108989,189243.652032287
21,1,prune,21,1005,90.3122411368485,21722,1951.81536562619,0.010199529888163,0.0102133056746951,2107984,189153.33979115
22,1,prune,22,1004,91.6176100240129,22726,2043.4329756502,0.010670956460657,0.0106927150864865,2106980,189061.722181126
23,1,prune,23,1000,91.9909312881525,23726,2135.42390693835,0.0111405048396351,0.0111740779843773,2105980,188969.731249838
24,1,prune,24,1000,91.6641841634294,24726,2227.08809110178,0.0116100532186133,0.0116537311056562,2104980,188878.067065675
25,1,prune,25,1000,91.2956780249884,25726,2318.38376912677,0.0120796015975914,0.012131455937046,2103980,188786.77138765
26,1,prune,26,1000,90.9552539986946,26726,2409.33902312547,0.0125491499765695,0.0126073994244107,2102980,188695.816133651
27,1,prune,27,1000,90.7229918037609,27726,2500.06201492923,0.0130186983555477,0.0130821275484602,2101980,188605.093141847
28,1,prune,28,1000,90.4937242744267,28726,2590.55573920365,0.0134882467345258,0.0135556559794446,2100980,188514.599417573
29,1,prune,29,1000,90.2769911606206,29726,2680.83273036427,0.0139577951135039,0.0140280503064661,2099980,188424.322426412
30,1,prune,30,1000,89.9546109071404,30726,2770.78734127141,0.0144273434924821,0.0144987577074954,2098980,188334.367815505
31,1,prune,31,1000,89.5055018885013,31726,2860.29284315992,0.0148968918714602,0.0149671150462342,2097980,188244.862313617
32,1,prune,32,1000,88.9757299883267,32726,2949.26857314824,0.0153664402504383,0.015432700236311,2096980,188155.886583628
33,1,prune,33,1000,88.2232594306928,33726,3037.49183257894,0.0158359886294165,0.015894347957736,2095980,188067.663324198
34,1,prune,34,1000,87.5532519046272,34726,3125.04508448356,0.0163055370083946,0.016352489716564,2094980,187980.110072293
35,1,prune,35,1000,89.7168550490631,35726,3214.76193953263,0.0167750853873727,0.0168219530074704,2093980,187890.393217244
36,1,prune,36,1000,90.0075626579372,36726,3304.76950219056,0.0172446337663509,0.0172929374902495,2092980,187800.385654586
37,1,prune,37,1000,90.2461046039956,37726,3395.01560679456,0.017714182145329,0.0177651701965308,2091980,187710.139549982
38,1,prune,38,1000,90.3177181236756,38726,3485.33332491823,0.0181837305243071,0.0182377776363959,2090980,187619.821831858
39,1,prune,39,1005,88.7026524424415,39731,3574.03597736068,0.0186556266451801,0.0187019338878046,2089975,187531.119179416
40,1,prune,40,1006,87.2791076576411,40737,3661.31508501832,0.0191279923144321,0.019158641126215,2088969,187443.840071758
41,1,prune,41,1000,87.177832756467,41737,3748.49291777478,0.0195975406934103,0.0196148184213013,2087969,187356.662239002
42,1,prune,42,1002,90.2936400935026,42739,3838.78655786829,0.0200680281691464,0.0200872998675471,2086967,187266.368598908
43,1,prune,43,1003,91.5720846413968,43742,3930.35864250968,0.0205389851932614,0.020566471057703,2085964,187174.796514267
44,1,prune,44,1000,89.4842709954333,44742,4019.84291350512,0.0210085335722396,0.0210347173010972,2084964,187085.312243271
45,1,prune,45,1003,90.8467307542092,45745,4110.68964425933,0.0214794905963546,0.021510092916578,2083961,186994.465512517
46,1,prune,46,1000,89.5572329607217,46745,4200.24687722005,0.0219490389753327,0.0219787209495961,2082961,186904.908279556
47,1,prune,47,1001,89.4700623710675,47746,4289.71693959111,0.0224190569026899,0.0224468928432201,2081960,186815.438217185
48,1,prune,48,1005,91.6849334021538,48751,4381.40187299327,0.0228909530235629,0.0229266545394807,2080955,186723.753283783
49,1,prune,49,1008,90.3713294794768,49759,4471.77320247275,0.0233642577895728,0.0233995425126248,2079947,186633.381954304
50,1,prune,50,1005,90.6559427700456,50764,4562.42914524279,0.0238361539104459,0.023873919787773,2078942,186542.726011534
51,1,fragmentation,,1,0.0882179177032709,50765,4562.51736316049,0.0238366234588248,0.0238743814075426,2078941,186542.637793616
52,2,prune,1,1003,89.0529189479342,51768,4651.57028210843,0.0243075804829399,0.0243403705059261,2077938,186453.584874668
53,2,prune,2,1002,89.3152876101389,52770,4740.88556971857,0.024778067958676,0.0248077325063748,2076936,186364.269587058
54,2,prune,3,1003,90.765368017823,53773,4831.65093773639,0.0252490249827911,0.0252826823733387,2075933,186273.50421904
55,2,prune,4,1001,90.9631857941561,54774,4922.61412353055,0.0257190429101482,0.0257586673655778,2074932,186182.541033246
56,2,prune,5,1001,90.5223000813226,55775,5013.13642361187,0.0261890608375053,0.0262323453257933,2073931,186092.018733165
57,2,prune,6,1000,90.3958264278305,56775,5103.5322500397,0.0266586092164834,0.0267053614846388,2072931,186001.622906737
58,2,prune,7,1001,89.3749230226567,57776,5192.90717306236,0.0271286271438405,0.0271730355405759,2071930,185912.247983714
59,2,prune,8,1001,89.7177307672902,58777,5282.62490382965,0.0275986450711976,0.0276425034138716,2070929,185822.530252947
60,2,prune,9,1001,89.1128886002295,59778,5371.73779242988,0.0280686629985547,0.0281088063167269,2069928,185733.417364347
61,2,prune,10,1002,90.2540993562767,60780,5461.99189178615,0.0285391504742908,0.0285810808573181,2068926,185643.16326499
62,2,prune,11,1000,89.7429244155853,61780,5551.73481620174,0.0290086988532689,0.0290506805619517,2067926,185553.420340575
63,2,prune,12,1001,89.1913798579375,62781,5640.92619605968,0.0294787167806261,0.0295173941876766,2066925,185464.228960717
64,2,prune,13,1000,89.7239244727335,63781,5730.65012053241,0.0299482651596042,0.0299868944709062,2065925,185374.505036244
65,2,prune,14,1000,90.3186532148249,64781,5820.96877374723,0.0304178135385823,0.0304595068038426,2064925,185284.186383029
66,2,prune,15,1003,90.6221657659149,65784,5911.59093951315,0.0308887705626974,0.0309337073333447,2063922,185193.564217263
67,2,prune,16,1000,90.7014157265539,66784,6002.2923552397,0.0313583189416755,0.0314083225557972,2062922,185102.862801537
68,2,prune,17,1000,89.932116755044,67784,6092.22447199475,0.0318278673206537,0.0318789122511995,2061922,185012.930684782
69,2,prune,18,1000,91.3294877820157,68784,6183.55395977676,0.0322974156996318,0.0323568139996222,2060922,184921.601197
70,2,prune,19,1000,91.517853589003,69784,6275.07181336577,0.0327669640786099,0.0328357014137996,2059922,184830.083343411
71,2,prune,20,1000,90.1275472616311,70784,6365.1993606274,0.033236512457588,0.0333073137425602,2058922,184739.955796149
72,2,prune,21,1000,90.2218285654591,71784,6455.42118919286,0.0337060608365662,0.0337794194190996,2057922,184649.733967584
73,2,prune,22,1000,91.1601706283175,72784,6546.58135982117,0.0341756092155443,0.0342564351780598,2056922,184558.573796955
74,2,prune,23,1000,90.0809340561516,73784,6636.66229387733,0.0346451575945224,0.034727803592911,2055922,184468.492862899
75,2,prune,24,1000,89.7859716271528,74784,6726.44826550448,0.0351147059735006,0.035197628551602,2054922,184378.706891272
76,2,prune,25,1004,90.4121913036592,75788,6816.86045680814,0.0355861325459946,0.0356707303432804,2053918,184288.294699968
77,2,prune,26,1004,90.3550521777912,76792,6907.21550898593,0.0360575591184887,0.0361435331418426,2052914,184197.939647791
78,2,prune,27,1000,88.8271493862213,77792,6996.04265837215,0.0365271074974668,0.0366083408510504,2051914,184109.112498404
79,2,prune,28,1001,88.0047850856032,78793,7084.04744345775,0.0369971254248239,0.0370688453571346,2050913,184021.107713319
80,2,prune,29,1000,90.0830152975305,79793,7174.13045875528,0.037466673803802,0.0375402246625417,2049913,183931.024698021
81,2,prune,30,1003,90.8388164261212,80796,7264.9692751814,0.0379376308279171,0.03801555886455,2048910,183840.185881595
82,2,prune,31,1004,91.0982622902617,81800,7356.06753747167,0.0384090574004111,0.0384922506744362,2047906,183749.087619305
83,2,prune,32,1001,90.20846065638,82801,7446.27599812805,0.0388790753277683,0.0389642864004342,2046905,183658.879158648
84,2,prune,33,1000,90.0987594665501,83801,7536.3747575946,0.0393486237067464,0.0394357480906886,2045905,183568.780399182
85,2,prune,34,1000,90.2427139808335,84801,7626.61747157543,0.0398181720857245,0.0399079630547842,2044905,183478.537685201
86,2,prune,35,1000,90.4776075003038,85801,7717.09507907573,0.0402877204647026,0.0403814071511827,2043905,183388.060077701
87,2,prune,36,1000,89.9925744832267,86801,7807.08765355896,0.0407572688436808,0.040852313205022,2042905,183298.067503218
88,2,prune,37,1000,89.6009062215444,87801,7896.6885597805,0.0412268172226589,0.0413211697680385,2041905,183208.466596996
89,2,prune,38,1000,91.0018141392598,88801,7987.69037391976,0.041696365601637,0.0417973568916386,2040905,183117.464782857
90,2,prune,39,1000,91.5815335784816,89801,8079.27190749825,0.0421659139806152,0.0422765775254481,2039905,183025.883249278
91,2,prune,40,1000,90.4519038482049,90801,8169.72381134645,0.0426354623595933,0.042749887121801,2038905,182935.43134543
92,2,prune,41,1000,90.8328963565991,91801,8260.55670770305,0.0431050107385714,0.0432251903457359,2037905,182844.598449073
93,2,prune,42,1000,90.2058403396732,92801,8350.76254804272,0.0435745591175496,0.043697212360347,2036905,182754.392608734
94,2,prune,43,1000,89.9876637684348,93801,8440.75021181116,0.0440441074965277,0.0441680927177848,2035905,182664.404944965
95,2,prune,44,1001,89.8379201119469,94802,8530.5881319231,0.0445141254238848,0.0446381895084143,2034904,182574.567024853
96,2,prune,45,1000,90.0737990265642,95802,8620.66193094967,0.0449836738028629,0.0451095205876448,2033904,182484.493225827
97,2,prune,46,1000,90.0805972824701,96802,8710.74252823214,0.0454532221818411,0.0455808872402533,2032904,182394.412628544
98,2,prune,47,1000,90.5064852415199,97802,8801.24901347366,0.0459227705608192,0.046054482445821,2031904,182303.906143303
99,2,prune,48,1000,90.4973287771732,98802,8891.74634225083,0.0463923189397973,0.0465280297381634,2030904,182213.408814526
100,2,prune,49,1001,89.7684443400573,99803,8981.51478659089,0.0468623368671544,0.0469977629814473,2029903,182123.640370186
101,2,prune,50,1002,89.6288750840991,100805,9071.14366167499,0.0473328243428905,0.0474667658977243,2028901,182034.011495101
102,2,fragmentation,,5,0.450711155065537,100810,9071.59437283005,0.0473351720847854,0.047469124343548,2028896,182033.560783946
103,3,prune,1,1001,89.3143688642271,101811,9160.90874169428,0.0478051900121425,0.0479364815364555,2027895,181944.246415082
104,3,prune,2,1000,90.353882929094,102811,9251.26262462337,0.0482747383911207,0.0484092782166653,2026895,181853.892532153
105,3,prune,3,1000,90.3354681997627,103811,9341.59809282314,0.0487442867700988,0.0488819785377302,2025895,181763.557063953
106,3,prune,4,1013,92.9736619580988,104824,9434.57175478123,0.0492199392780036,0.0493684837912479,2024882,181670.583401995
107,3,prune,5,1003,89.4048175494813,105827,9523.97657233072,0.0496908963021187,0.0498363142769098,2023879,181581.178584446
108,3,prune,6,1005,87.1486417333406,106832,9611.12521406406,0.0501627924229917,0.05029233882351,2022874,181494.029942712
109,3,prune,7,1001,88.981375812456,107833,9700.10658987651,0.0506328103503488,0.0507579535566106,2021873,181405.0485669
110,3,prune,8,1001,91.7184002998288,108834,9791.82499017634,0.0511028282777059,0.0512378903758166,2020872,181313.3301666
111,3,prune,9,1001,91.9087999811611,109835,9883.7337901575,0.0515728462050631,0.0517188235034749,2019871,181221.421366619
112,3,prune,10,1000,90.9111003397706,110835,9974.64489049727,0.0520423945840412,0.0521945359470518,2018871,181130.510266279
113,3,prune,11,1000,91.2314807631344,111835,10065.8763712604,0.0525119429630193,0.0526719248520674,2017871,181039.278785516
114,3,prune,12,1001,91.1276126131536,112836,10157.0039838736,0.0529819608903764,0.0531487702440109,2016870,180948.151172903
115,3,prune,13,1000,90.4674293797013,113836,10247.4714132533,0.0534515092693546,0.0536221610811418,2015870,180857.683743523
116,3,prune,14,1001,90.2141973261371,114837,10337.6856105794,0.0539215271967117,0.0540942268255333,2014869,180767.469546197
117,3,prune,15,1000,90.0630001634739,115837,10427.7486107429,0.0543910755756898,0.0545655013973238,2013869,180677.406546034
118,3,prune,16,1001,90.7089053962083,116838,10518.4575161391,0.0548610935030469,0.0550401558111297,2012868,180586.697640637
119,3,prune,17,1001,89.6741437183724,117839,10608.1316598575,0.055331111430404,0.0555093956055497,2011867,180497.023496919
120,3,prune,18,1001,90.802765226659,118840,10698.9344250841,0.0558011293577611,0.0559845411616817,2010866,180406.220731692
121,3,prune,19,1003,90.4726827023906,119843,10789.4071077865,0.0562720863818762,0.0564579594879857,2009863,180315.74804899
122,3,prune,20,1003,89.2477790357329,120846,10878.6548868222,0.0567430434059913,0.0569249682348848,2008860,180226.500269954
123,3,prune,21,1002,89.4970112450424,121848,10968.1518980673,0.0572135308817273,0.0573932811444535,2007858,180137.003258709
124,3,prune,22,1000,89.4713677644616,122848,11057.6232658317,0.0576830792607055,0.0578614598688373,2006858,180047.531890945
125,3,prune,23,1000,89.5530368469968,123848,11147.1763026787,0.0581526276396836,0.058330065944762,2005858,179957.978854098
